,smiles,MW,LogP,NumHetAtoms,NumAromRings,NumAliphaticRings,RNH2,Ar_N,Pyr,Cyan,CCCC(C)CC#N
38,CCCC(=O)CNNC(=O)COc1ccc(C)cc1,264.147,1.364,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
39,CCC(=O)NNC(=O)COc1ccc(C)cc1,236.116,0.931,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
40,Cc1ccc(OCC(=O)NNCC(=O)[O-])cc1,237.088,-1.255,6.0,1.0,0.0,0.0,0.0,0.0,0.0,
41,Cc1cc(C)c(C(=O)NNCC(=O)[O-])c(O)c1,237.088,-1.007,6.0,1.0,0.0,0.0,0.0,0.0,0.0,
42,Cc1ccc(OCC(=O)NCC(=O)[O-])cc1,222.077,-0.76,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
43,COc1cc(OCC(=O)NCC(=O)[O-])ccc1C,252.088,-0.751,6.0,1.0,0.0,0.0,0.0,0.0,0.0,
44,CCC(=O)NNC(=O)COc1cccc(C)c1,236.116,0.931,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
45,Cc1cccc(N2CCOC2=O)c1,177.079,1.952,3.0,1.0,1.0,0.0,0.0,0.0,0.0,
46,Cc1ccccc1N1CCC1=O,161.084,1.732,2.0,1.0,1.0,0.0,0.0,0.0,0.0,
47,Cc1cccc(N2CCOC2)c1,163.1,1.789,2.0,1.0,1.0,0.0,0.0,0.0,0.0,
48,Cc1ccc(N2CCOCC2)o1,167.095,1.425,3.0,1.0,1.0,0.0,0.0,0.0,0.0,
49,Cc1ccccc1N1C(=O)CC1=O,175.063,1.258,3.0,1.0,1.0,0.0,0.0,0.0,0.0,
50,Cc1cccc(N2CCOCC2=O)c1,191.095,1.358,3.0,1.0,1.0,0.0,0.0,0.0,0.0,
51,Cc1ccccc1N1C=CC1=O,159.068,1.855,2.0,1.0,1.0,0.0,0.0,0.0,0.0,
52,CC1=CC2=NC(c3ccco3)=NC2=NC1=O,213.054,1.366,5.0,1.0,2.0,0.0,0.0,0.0,0.0,
53,CC1=CC2=NC(NCc3ccco3)=NC2=N1,214.085,1.496,5.0,1.0,2.0,0.0,0.0,0.0,0.0,
54,Cc1nc2ccccc2c(=O)n1-c1ccno1,227.069,1.682,5.0,3.0,0.0,0.0,3.0,0.0,0.0,
55,Cc1nc2ccc(O)cc2n1-c1ccno1,215.069,2.028,5.0,3.0,0.0,0.0,3.0,0.0,0.0,
56,Cc1cc2nc3ccccc3n2c(=O)[nH]c1=O,227.069,0.844,5.0,3.0,0.0,0.0,3.0,0.0,0.0,
57,Cc1cc2nc(NCc3ccco3)ncn2c1,228.101,2.243,5.0,3.0,0.0,0.0,3.0,0.0,0.0,
58,Cc1nc2ccccc2n1C(=O)c1ccno1,227.069,2.021,5.0,3.0,0.0,0.0,3.0,0.0,0.0,
59,Cc1nc2ccc(Nc3ccco3)nc2n1[O-],229.073,2.422,6.0,3.0,0.0,0.0,3.0,1.0,0.0,
60,COC(=O)c1ccc2nc3cc(C)sn3c2n1,247.042,2.039,6.0,3.0,0.0,0.0,3.0,1.0,0.0,
61,Cc1cccc(NC(=O)c2ccc(F)c(C)c2)c1,243.106,3.695,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
62,Cc1ccc(C(=O)Nc2ccccc2Cl)c(C)c1,259.076,4.209,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
63,Cc1ccc(NC(=O)Nc2cccc(C)c2)cc1,240.126,3.947,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
64,Cc1ccc(C(=O)Nc2ccccc2Cl)cc1,245.061,3.901,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
65,Cc1ccc(NC(=O)Nc2ccccc2C)cc1C,254.142,4.256,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
66,Cc1cccc(C(=O)Nc2ccc(F)cc2)c1C,243.106,3.695,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
67,Cc1ccc(C)c(NC(=O)c2cccs2)c1C,245.087,3.926,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
68,Cc1cc(C)cc(NC(=O)c2ccc(F)cc2)c1,243.106,3.695,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
69,Cc1ccc(C)c(NC(=O)Nc2ccccc2F)c1,258.117,4.087,4.0,2.0,0.0,0.0,0.0,0.0,0.0,
70,Cc1cccc(NC(=O)Nc2ccc(C)c(C)c2)c1,254.142,4.256,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
71,Cc1ccc(C)c(NC(=O)c2cccc(F)c2)c1,243.106,3.695,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
72,Cc1ccc(C)c(NC(=O)Nc2ccccc2)c1,240.126,3.947,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
73,Cc1cccc(NC(=O)c2ccc(C)c(C#N)c2)c1,250.111,3.427,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
74,Cc1cccc(NC(=O)Nc2ccccc2C)c1,240.126,3.947,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
75,Cc1ccc(C)c(NC(=O)c2ccccc2F)c1,243.106,3.695,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
76,Cc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1,245.061,3.901,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
77,Cc1ccc(C)c(NC(=O)c2ccc(F)cc2)c1,243.106,3.695,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
78,CC(=O)N(Cc1ccc(Cl)cc1)C(=O)NCc1cccnc1C,331.109,3.302,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
79,CCOC(=O)c1ccc(NC(=O)COc2ccc(C)c(C)c2)cc1,327.147,3.498,5.0,2.0,0.0,0.0,0.0,0.0,0.0,
80,COC(=O)c1ccc(NC(=O)CCC(=O)c2cccnc2)cc1C,326.127,2.778,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
81,COC(=O)CCC(=O)Nc1ccc(C(=O)c2ccccn2)cc1C,326.127,2.513,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
82,COC(=O)c1cc(C)n(CC(=O)Nc2cccc(C)c2C)c1C#N,325.143,2.71,6.0,2.0,0.0,0.0,1.0,0.0,0.0,
83,CC(=O)Nc1ccc(C(=O)NC(=S)Nc2ccc(C)cc2)cc1,327.104,3.08,6.0,2.0,0.0,0.0,0.0,0.0,0.0,
84,CC(=O)Nc1cc(C(=O)NC(C)(C)C)ccc1OCc1cccnc1,341.174,3.147,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
85,CCOC(=O)c1c(C#N)c(C(=O)NCc2ccccc2)n(C)c1C,325.143,2.312,6.0,2.0,0.0,0.0,1.0,0.0,0.0,
86,CC(=O)N(Cc1ccc(C)c(C)c1)C(=O)Nc1ccc(C(=O)[O-])cn1,340.13,1.643,7.0,2.0,0.0,0.0,1.0,1.0,0.0,
87,C[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)NCCc1cccnc1,338.059,3.515,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
88,CCOC(=O)c1cc(C(=O)NCc2cccnc2)c(C)c(C)c1C#N,337.143,2.677,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
89,CC(=O)Nc1ccc(C(=O)NCc2cccnc2)c(C(C)=O)c1C,325.143,2.481,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
90,COC(=O)c1c(C)c(C(=O)NCc2cccc(Cl)c2)n(C)c1C,334.108,3.012,6.0,2.0,0.0,0.0,1.0,0.0,0.0,
91,COC(=O)c1c(NC(=O)CCc2ccccc2O)cc(C)nc1C,328.142,2.762,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
92,C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)NCCc1ccc[nH+]c1,339.066,2.934,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
93,CC(=O)Nc1ccc(C(=O)NCC(=O)c2cccc(C)n2)cc1C,325.143,2.27,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
94,COC(=O)CCC(=O)Nc1ccc(Cn2ccc(Cl)c2C)cc1,334.108,3.39,6.0,2.0,0.0,0.0,1.0,0.0,0.0,
95,CCOC(=O)c1c(C)c(C(=O)NCc2ccccc2O)n(C)c1C,330.158,2.454,6.0,2.0,0.0,0.0,1.0,0.0,0.0,
96,CC(=O)Nc1ccc(C(=O)NC(=S)Nc2ccc(C)cc2C)cc1,341.12,3.389,6.0,2.0,0.0,0.0,0.0,0.0,0.0,
97,COC(=O)c1c(C)c(C(=O)NCc2ccccc2Cl)n(C)c1C,334.108,3.012,6.0,2.0,0.0,0.0,1.0,0.0,0.0,
98,CCOC(=O)CC(=O)Nc1ccc(C(=O)c2ccccn2)cc1C,326.127,2.513,6.0,2.0,0.0,0.0,1.0,1.0,0.0,
99,Cc1ccc(C)c(NC(=O)CN2CCN(c3ccc(Br)cc3F)C2=O)c1,419.064,4.086,7.0,2.0,1.0,0.0,0.0,0.0,0.0,
100,Cc1ccc(C(=O)Nc2ccccc2C(=O)N2CCOCC2)cc1Br,402.058,3.482,6.0,2.0,1.0,0.0,0.0,0.0,0.0,
101,COc1ccccc1N1CCN(C(=O)CSc2ccc(C(F)(F)F)cc2)CC1,410.128,4.155,8.0,2.0,1.0,0.0,0.0,0.0,0.0,
102,COc1ccccc1N1CCN(C(=O)c2ccc(Br)cc2Cl)CC1=O,422.003,3.6,7.0,2.0,1.0,0.0,0.0,0.0,0.0,
103,COc1ccccc1N1CCN(C(=O)COc2ccc(Cl)cc2Cl)CC1,394.085,3.73,7.0,2.0,1.0,0.0,0.0,0.0,0.0,
104,COc1ccccc1N1CCN(C(=O)COc2ccc(Cl)c(Cl)c2)CC1,394.085,3.73,7.0,2.0,1.0,0.0,0.0,0.0,0.0,
105,COc1ccccc1N1CCN(C(=O)c2ccc(Cl)cc2Cl)C(C)(C)C1=O,406.085,4.27,7.0,2.0,1.0,0.0,0.0,0.0,0.0,
106,COc1ccccc1N1CCN(C(=O)CS(=O)(=O)c2ccccc2C)CC1,388.146,2.126,7.0,2.0,1.0,0.0,0.0,0.0,0.0,
107,Cc1ccc(C)c(NC(=O)CN2C(=O)c3ccc(Br)cc3C2=O)c1,386.027,3.301,6.0,2.0,1.0,0.0,0.0,0.0,0.0,
108,COc1ccccc1N1CCN(C(=O)c2ccc(Cl)c(Cl)c2)CCC1=O,392.069,3.881,7.0,2.0,1.0,0.0,0.0,0.0,0.0,
109,Cc1ccc(NC(=O)CN2C(=O)c3ccc(Br)cc3C2=O)c(C)c1,386.027,3.301,6.0,2.0,1.0,0.0,0.0,0.0,0.0,
110,COc1ccccc1N1CCN(C(=O)c2ccc(Cl)c(Cl)c2)C(C)(C)O1,394.085,4.632,7.0,2.0,1.0,0.0,0.0,0.0,0.0,
111,CC(C)Cn1c(N2CCCCC2)nc2c1c(=O)[nH]c(=O)n2C,305.185,1.07,7.0,2.0,1.0,0.0,4.0,0.0,0.0,
112,CCOC(=O)C1=C(c2ccccc2)n2nnnc2[N+](=O)[C@@H]1CC,314.125,1.698,8.0,2.0,1.0,0.0,4.0,0.0,0.0,
113,CCC(=O)N1CCc2ccccc2[C@@H]1[C@H](O)Cn1nnc(C)n1,315.17,0.878,7.0,2.0,1.0,0.0,4.0,0.0,0.0,
114,CCn1nnnc1S[C@H]1CC(=O)N(c2ccccc2)CC1=O,317.095,1.16,8.0,2.0,1.0,0.0,4.0,0.0,0.0,
115,CC(C)(C)n1nnc(N2CC[NH+](Cc3ccccc3)C2)n1,287.198,0.291,6.0,2.0,1.0,0.0,4.0,0.0,0.0,
116,CC(C)(C)n1nnc([C@H]2CC(c3ccc(F)cc3)=NC2=O)n1,301.134,2.07,7.0,2.0,1.0,0.0,4.0,0.0,0.0,
117,Cc1nn(C)c(C)c1C(=O)Nc1ccc(-c2nc3ccccc3oc2=O)c([O-])c1,389.126,2.531,8.0,4.0,0.0,0.0,3.0,0.0,0.0,
118,COc1ccc(C(=O)Nc2ccc(-n3cnc(-c4ccccc4)n3)cc2)oc1=O,388.117,3.148,8.0,4.0,0.0,0.0,3.0,0.0,0.0,
119,Cc1cc(C)n(C(=O)COc2ccc(-c3nc4ccccc4o3)c(=O)n2C)c1,377.138,3.331,7.0,4.0,0.0,0.0,3.0,1.0,0.0,
120,Cc1cc(C(=O)NC(=S)Nc2cccc3ccccc23)nn1-c1ccco1,376.099,4.054,7.0,4.0,0.0,0.0,2.0,0.0,0.0,
121,COC(=O)c1cnn(-c2ccccc2)c1-c1noc2ccc(F)cc12,337.086,3.606,7.0,4.0,0.0,0.0,3.0,0.0,0.0,
122,CC(=O)Nc1nnc(-c2nnc(-c3ccccc3)o2)c2ccccc12,331.107,3.305,7.0,4.0,0.0,0.0,4.0,0.0,0.0,
123,CCOC(=O)CSC1=c2sc3c(c2N=N1)C(c1ccccc1)=NN=3,356.04,2.593,8.0,2.0,2.0,0.0,0.0,0.0,0.0,
124,COC(=O)c1cnn(-c2ccccc2)c1-c1noc2ccc(Cl)cc12,353.057,4.121,7.0,4.0,0.0,0.0,3.0,0.0,0.0,
125,CC(=O)NC1=NN=C(c2ccc(F)cc2)c2nnc3ccccc3c2N1,348.113,2.439,8.0,3.0,1.0,0.0,2.0,0.0,0.0,
126,Cc1ccccc1-n1c[n+](CCC(=O)[O-])c2ccccc2c1=O,308.116,0.727,5.0,3.0,0.0,0.0,2.0,0.0,0.0,
127,Cc1ccccc1-n1ccc2c(C(=O)[O-])cccc2c1=O,278.082,1.663,4.0,3.0,0.0,0.0,1.0,1.0,0.0,
128,Cc1ccccc1-n1ccc2c(CCC(=O)[O-])ccc-2n1,279.114,1.968,4.0,1.0,2.0,0.0,2.0,0.0,0.0,
129,Cc1ccccc1-c1nc2ccc(C(=O)[O-])cc2c(=O)n1C,293.093,1.272,5.0,3.0,0.0,0.0,2.0,0.0,0.0,
130,Cc1ccccc1N1C=Cc2c(C(=O)[O-])cccc2N1C,279.114,2.201,4.0,2.0,1.0,0.0,0.0,0.0,0.0,
131,Cc1ccccc1OCCn1c(=O)n(C)c2ccccc21,282.137,2.727,4.0,3.0,0.0,0.0,2.0,0.0,0.0,
132,Cc1ccccc1-c1nc2ccc(C(=O)[O-])cc2nc1CO,293.093,1.461,5.0,3.0,0.0,0.0,2.0,0.0,0.0,
133,Cc1ccccc1-n1nc2ccccc2c1CCC(=O)[O-],279.114,2.016,4.0,3.0,0.0,0.0,2.0,0.0,0.0,
134,Cc1ccccc1-n1c(=O)[nH]c(=O)c2c(C)c(C)ccc2c1=O,308.116,1.964,5.0,3.0,0.0,0.0,2.0,0.0,0.0,
135,CN[C@@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1C,307.168,2.994,4.0,3.0,0.0,0.0,1.0,0.0,0.0,
136,Cc1ccccc1-n1c(C)c(C(=O)[O-])c2ccccc2c1=O,292.098,1.971,4.0,3.0,0.0,0.0,1.0,1.0,0.0,
137,Cc1ccccc1NC(=O)[C@H](C)n1cnc2ccccc2c1=O,307.132,2.905,5.0,3.0,0.0,0.0,2.0,0.0,0.0,
138,Cc1cccc(C)c1NC(=O)Cn1c(=O)n(C)c2ccccc21,309.148,2.596,5.0,3.0,0.0,0.0,2.0,0.0,0.0,
139,Cc1ccccc1-c1nc2c(c(C)c1C)c(=O)n(C)c(=O)n2C,309.148,2.224,5.0,3.0,0.0,0.0,3.0,1.0,0.0,
140,Cc1ccccc1-c1n[nH+]c(C(N)=O)c(C)c1-c1ccccc1,304.144,2.945,4.0,3.0,0.0,1.0,2.0,0.0,0.0,
141,Cc1ccccc1C(=O)n1c(=O)c2ccccc2n(C)c1=O,294.1,1.697,5.0,3.0,0.0,0.0,2.0,0.0,0.0,
142,Cc1ccccc1C(=O)Nc1cc(C(=O)[O-])c2ccccc2n1,305.093,2.159,5.0,3.0,0.0,0.0,1.0,1.0,0.0,
143,CCC(CC)c1ccccc1CC#N,187.136,3.656,1.0,1.0,0.0,0.0,0.0,0.0,,
144,CC[C@@H](Cc1ccccc1)C(C)C,176.157,3.911,0.0,1.0,0.0,0.0,0.0,0.0,,
145,C[n+]1ccccc1C(=O)CC(C)(C)C,192.138,2.13,2.0,1.0,0.0,0.0,1.0,1.0,,
146,CC1=[N+]C=CC=C1C(=O)CC(C)(C)C,191.13,2.242,2.0,0.0,1.0,0.0,0.0,0.0,,
147,CC(C)(C)CCC[n+]1ccccc1,178.159,2.8,1.0,1.0,0.0,0.0,1.0,1.0,,
148,CC[C@H](c1ccccc1[O-])C(C)C,177.128,2.91,1.0,1.0,0.0,0.0,0.0,0.0,,
149,CCC(CC)c1cccc[n+]1CC,178.159,2.898,1.0,1.0,0.0,0.0,1.0,1.0,,
150,CCC(CC)c1cccc[n+]1CC,178.159,2.898,1.0,1.0,0.0,0.0,1.0,1.0,,
151,CC(C)[C@H](C)CCc1ccccc1,176.157,3.911,0.0,1.0,0.0,0.0,0.0,0.0,,
152,CC[NH+](CC)Cc1cccc(C)c1,178.159,1.42,1.0,1.0,0.0,0.0,0.0,0.0,,
153,CC[C@H](C)CCC[n+]1ccccc1,178.159,2.8,1.0,1.0,0.0,0.0,1.0,1.0,,
154,CC[C@H](Cc1ccccc1)C(C)=O,176.12,2.844,1.0,1.0,0.0,0.0,0.0,0.0,,
155,CC[C@H](C)c1cccc(C)c1O,164.12,3.214,1.0,1.0,0.0,0.0,0.0,0.0,,
156,CC(=O)[C@@H](Cc1ccccc1)C(C)C,190.136,3.09,1.0,1.0,0.0,0.0,0.0,0.0,,
157,CC[C@H](C)c1cccc(CC[NH2+])c1,177.151,1.77,1.0,1.0,0.0,1.0,0.0,0.0,,
158,CC[NH+](CC)c1ccccc1C,164.143,1.551,1.0,1.0,0.0,0.0,0.0,0.0,,
159,C=CC[n+]1ccc(CCC)cc1C,176.143,2.421,1.0,1.0,0.0,0.0,1.0,1.0,,
160,CC(C)[C@H](Cc1ccccc1)C(=O)[O-],191.108,1.251,2.0,1.0,0.0,0.0,0.0,0.0,,
161,CC(=O)CCCC[n+]1ccccc1C,192.138,2.042,2.0,1.0,0.0,0.0,1.0,1.0,,
162,CC[NH+](CC)c1cccc(C)c1C,178.159,1.86,1.0,1.0,0.0,0.0,0.0,0.0,,
163,C[NH+](C)Cc1ccc(C(C)(C)C)nc1,193.17,1.024,2.0,1.0,0.0,0.0,1.0,1.0,,
164,CC[C@H](Cc1ccccc1)C(C)C,176.157,3.911,0.0,1.0,0.0,0.0,0.0,0.0,,
165,CC[C@H](C)c1ccccc1C(C)=O,176.12,3.403,1.0,1.0,0.0,0.0,0.0,0.0,,
166,C=CC[C@H](CC)c1cccc[n+]1C,176.143,2.581,1.0,1.0,0.0,0.0,1.0,1.0,,
167,CCCC[n+]1ccccc1[C@@H](C)CC,192.175,3.288,1.0,1.0,0.0,0.0,1.0,1.0,,
168,CC(C)(C)CCCC[n+]1ccccc1,192.175,3.191,1.0,1.0,0.0,0.0,1.0,1.0,,
169,CC[C@H](C)CCc1cccc[n+]1C,178.159,2.49,1.0,1.0,0.0,0.0,1.0,1.0,,
170,C=CC[n+]1ccccc1C(=O)C(C)C,190.123,1.999,2.0,1.0,0.0,0.0,1.0,1.0,,
171,CCC[C@@H](C)c1cccc[n+]1CC,178.159,2.898,1.0,1.0,0.0,0.0,1.0,1.0,,
172,CC(C)[C@H](C)c1ccccc1,148.125,3.446,0.0,1.0,0.0,0.0,0.0,0.0,,
173,CC[C@H](C)c1ccccc1C(=O)[O-],177.092,1.564,2.0,1.0,0.0,0.0,0.0,0.0,,
174,CC(=O)[C@@H](Cc1ccccc1)C(C)C,190.136,3.09,1.0,1.0,0.0,0.0,0.0,0.0,,
175,CC[NH+](Cc1ccccc1)C(C)C,178.159,1.5,1.0,1.0,0.0,0.0,0.0,0.0,,
176,CC[C@H](C)c1ccccc1C[NH+](C)C,192.175,1.845,1.0,1.0,0.0,0.0,0.0,0.0,,
177,CC[C@H](C)CCc1ccc[n+](C)c1,178.159,2.49,1.0,1.0,0.0,0.0,1.0,1.0,,
178,C[n+]1cccc(C(=O)CC(C)(C)C)c1,192.138,2.13,2.0,1.0,0.0,0.0,1.0,1.0,,
179,CC[C@H](C)c1ccccc1CC[NH2+],177.151,1.77,1.0,1.0,0.0,1.0,0.0,0.0,,
180,CC(C)CCC1=CC=CC=[N+](C)[C@@H]1C,192.175,3.02,1.0,0.0,1.0,0.0,0.0,0.0,,
181,[CH]C(=O)c1ccccc1[C@@H](C)CC,174.104,3.094,1.0,1.0,0.0,0.0,0.0,0.0,,
182,CC[C@H](C)c1ccccc1[C@@H](C)N,177.152,3.22,1.0,1.0,0.0,1.0,0.0,0.0,,
183,CCC[n+]1ccccc1[C@@H](C)CC,178.159,2.898,1.0,1.0,0.0,0.0,1.0,1.0,,
184,C[NH+](C)Cc1cccc(C(C)(C)C)n1,193.17,1.024,2.0,1.0,0.0,0.0,1.0,1.0,,
185,C[C@H](Cc1ccccc1)C(C)(C)C,176.157,3.911,0.0,1.0,0.0,0.0,0.0,0.0,,
186,CC[C@@H](Cc1ccccc1)C(C)=O,176.12,2.844,1.0,1.0,0.0,0.0,0.0,0.0,,
187,CC[C@H](c1ccccc1O)C(C)C,178.136,3.542,1.0,1.0,0.0,0.0,0.0,0.0,,
188,CC[C@H](C)CC(=O)c1ccccc1,176.12,3.306,1.0,1.0,0.0,0.0,0.0,0.0,,
