PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
6,4238421,3233531,C1=CC(=CC(=C1)C2=CC(=NC=N2)N3C=CN=C3)C#N,Active,70,,,Inhibitor,0.1585,118.472,,Complete curve; partial efficacy,-6.8,0.4,0.9113,-85.586,32.886,-1.2,0 0 0 0 0 0 0,-70.61,,,21.22,,-18.29,,-21.12,,-26.56,,-54.51,,-78.02,,-70.61,QC'd by Pharmacopeia
7,11111648,5917,C1CCC2=NN=NN2CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,21.19,-7.401,20.55,-9.448,14.48,6.047,3.753,-14.25,35.25,-25.46,4.093,26.23,-9.8,,21.19,,QC'd by Prestwick
8,11112635,6604351,C[C@]12CC[C@@H]3[C@@H]([C@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,Active,50,,,Inhibitor,0.631,150.267,,Partial curve; high efficacy,-6.2,0.4,0.9227,-113.112,37.1547,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0,-90.82,23.78,46.79,7.704,4.93,18.07,-19.18,-2.188,-21.01,-28.5,-50.65,-52.71,-61.81,,-90.82,,QC'd by Prestwick
9,4238700,3233809,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=CS4)OC5=CC=C(C=C5)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.433,,,-18.34,,23.3,,-9.009,,-6.831,,-16.93,,32.82,,-2.433,QC'd by Pharmacopeia
10,11114372,6605031,C1CC[C@H]([C@@H](C1)C(=O)N[C@@H](CC2=CC=CC=C2)CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)C[C@H](CCCN)NC(=O)C[C@H](CO)NC(=O)[C@@H]3CNCC[C@H]3N,Inactive,0,,,Inactive,,,,,,,,,,4,,-54.4,-31.91,8.904,15.64,20.9,-66.39,-24.2,36.52,20.63,47.24,-69.05,-14.95,5.922,-18.13,79,-54.4,QC'd by UWisc
11,4254079,430431,C1(=C(C(=C(C(=C1F)F)F)F)F)N=C(N)N=C(N)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.723,-1.622,,-27.01,,-31,,-24.04,,31.65,,9.319,,-5.723,,,QC'd by NCI
12,4240395,3235500,CN1C2=NC(=NC=C2N=C(C1=O)C3=CC=CS3)OC4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.19,,,-30.91,,-5.853,,18.55,,-20.2,,25.13,,5.035,,-28.19,QC'd by Pharmacopeia
13,11111649,307957,CC[C@@H]1[C@@H](COC1=O)CC2=CN=CN2C,Inactive,0,,,Activator,0.631,31.826,,Complete curve; partial efficacy; poor fit,-6.2,4.9549,0.3828,17.695,-14.131,1.4,0 0 0 1 0 0 0 0 0 0 0 1 0 0 0,-25.69,16.94,-36.43,-1.75,41.86,-16.89,-11.55,-19.97,-27.36,-14.73,30.02,14.8,-18.82,45.52,24.04,-25.69,QC'd by SigmaAldrich
14,11110820,2457,C1CN=C(N1)C2=NC3=CC=CC=C3C=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,7.735,3.356,-20.69,-6.455,-15.32,-10.94,14.04,-11.43,19.92,63.88,8.369,-0.0738,-7.886,-15.91,18.06,7.735,QC'd by SigmaAldrich
15,4239268,3234375,CC(=O)N1CCC2(CCCN(C2)C3=CC=CC=C3)CC1,Active,40,,,Inhibitor,25.1189,94.728,,Partial curve; partial efficacy,-4.6,1.3437,0.9476,-92.318,2.41,-2.2,0 0 0 0 0 0 0,-70.19,,,2.492,,8.905,,-8.2,,10.71,,-5.052,,-22.12,,-70.19,QC'd by Pharmacopeia
16,4253384,443657,C[C@@H]([C@@H](C(=O)O)N)OP(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,17.23,-5.712,,31.33,,39.15,,43.04,,47.57,,-0.1465,,17.23,,,QC'd by NCI
17,4237862,3232975,CC1=CN=C(C=N1)CNC2=NC=NC(=C2)C3=CC=C(C=C3)N(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.44,,,-17.05,,-11.96,,1.2,,21.06,,20.11,,-4.898,,-41.44,QC'd by Pharmacopeia
18,11111375,6603903,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCN[C@H](C3)C)F)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,0.886,40.26,32.33,-12.44,21.22,-3.753,11.92,-19.66,13.35,-14.21,-33.54,-7.922,13.84,-6.763,-8.962,0.886,QC'd by SigmaAldrich
19,17384877,3247264,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)N[C@H](CC4=CC=CC=C4)CO,Active,42,,,Inhibitor,12.5893,125.707,,Partial curve; high efficacy,-4.9,0.8,0.9987,-113.707,12,-2.1,1 0 0 0 0 0 0,-86.61,,,-21.08,,9.861,,11.14,,3.72,,-13.88,,-47.06,,-86.61,QC'd by UPCMLD
20,26752618,16759042,CC(=O)[C@]1(CCCC1=O)C(C2=CC(=CC=C2)F)NC(=O)OC,Inconclusive,23,,,Inhibitor,2.5119,54.088,,Partial curve; partial efficacy,-5.6,1.4787,0.8485,-55.264,-1.176,-2.2,0 0 0 0 0 0 0,-50.49,-8.416,,6.383,,-11.52,,11.27,,-8.042,,-25.56,,-50.49,,,QC'd by BUCMLD
21,17385296,3247248,COC(=O)CN1C2=C(C=C1C(=O)N3CCCC3)[C@H]4[C@@H](C2)CN([C@@]4(CC5=CC=C(C=C5)F)C(=O)OC)C(=O)C6=CC=CC=C6,Inactive,0,,,Inactive,,,,,,,,,,4,,-38.45,,,-14.49,,-1.595,,29.03,,12.22,,3.335,,46.21,,-38.45,QC'd by UPCMLD
22,11113870,6604799,CCC(=O)N[C@@H]1CCC2=C(C1)C(=CC=C2)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.91,-1.746,-15.35,13.95,34.03,-10.16,-21.11,-13,-5.32,26.32,-10.53,-9.304,2.005,34.12,-22.2,-5.91,QC'd by Tocris
23,11113129,6564523,CC(C)C1=CC2=C(C=C1)[C@@]3(CCC[C@]([C@H]3CC2)(C)CN)C,Active,84,,,Inhibitor,6.3096,129.055,,Complete curve; high efficacy,-5.2,1.8851,0.9519,-117.832,11.224,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-109.3,-9.06,16.9,8.872,4.023,0.4962,31,11.02,4.743,10.63,17.69,7.431,-43.43,-84.43,-101.9,-109.3,QC'd by Timtec
24,4239836,3234943,CN1C(=O)C=NC2=CN=C(N=C21)OCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-32.97,,,14.6,,-4.519,,38.54,,-2.656,,-6.594,,4.992,,-32.97,QC'd by Pharmacopeia
25,4253519,266689,C1CCC(C1)(C(=O)O)NC2=CC=C(C=C2)S(=O)(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,32.11,4.471,,16.72,,55.01,,-18.26,,18.72,,22.24,,32.11,,,QC'd by NCI
26,26751167,11025308,C1C[C@H](CC(=O)C1)C(C(=O)OCC2=CC=CC=C2)C(=O)OCC3=CC=CC=C3,Inconclusive,23,,,Inhibitor,3.9811,49.6,,Partial curve; partial efficacy,-5.4,2.3031,0.8611,-62.046,-12.446,-2.2,0 0 0 0 0 0 0,-58.13,-8.779,,-13.35,,-26.99,,-6.03,,-10.5,,-22.98,,-58.13,,,QC'd by BUCMLD
27,4252893,3246138,CNC1=C(C(=NC=N1)SC2=NC(=NC3=C2NC=N3)N)[N+](=O)[O-],Inactive,0,,,Activator,0.0794,63.704,,Partial curve; partial efficacy,-7.1,1.1,0.945,34.736,-28.968,2.2,0 0 1 0 0 0 0,25.19,-29.14,,-26.69,,48.54,,7.177,,23.04,,45.2,,25.19,,,QC'd by NCI
28,11111647,5917,C1CCC2=NN=NN2CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,0.268,-1.144,17.24,6.275,0.7634,86.95,-24.21,32.43,6.909,20.87,-27.48,4.453,-1.471,-29.74,-4.27,0.268,QC'd by SigmaAldrich
29,4238422,3233532,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=CS4)OC5=CC=CC=C5,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.506,,,-24.24,,57.78,,-0.0139,,41.85,,26.75,,25.09,,-6.506,QC'd by Pharmacopeia
30,11112634,6604350,C[C@@H]1C/C=C\C=C/[C@@H]([C@@H](C[C@@H]([C@H]([C@@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)C)O[C@@H]3C[C@]([C@@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,,25.93,-19.67,2.945,-2.506,-7.264,19.07,-9.481,-11.69,5.106,32.11,-5.699,13.03,-13.27,,25.93,,QC'd by Prestwick
31,4240396,3235501,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CN(C5=CC=CC=C54)C)CCC6=CC=CC=C6,Inactive,0,,,Inactive,,,,,,,,,,4,,31.9,,,-20.7,,-19.88,,45.15,,-30.96,,-12.28,,-17.89,,31.9,QC'd by Pharmacopeia
32,11114371,6605030,CC(C)[C@@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@@H](CC2=CC=CC=C2)CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)C[C@H](CO)NC(=O)[C@@H]3CNCC[C@H]3N,Inactive,0,,,Inactive,,,,,,,,,,4,,-25.38,-67,5.791,27.4,301.9,43.87,41.86,317.6,24.63,370.5,346.3,8.212,12.52,-48.22,3.032,-25.38,QC'd by UWisc
33,11113128,6604604,COC1=C(C=CC(=C1)[C@H]2[C@@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,Inconclusive,20,,,Inhibitor,15.8489,114.362,,Partial curve; partial efficacy; poor fit,-4.8,0.8,0.7434,-105.726,8.6355,-2.4,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,-78.51,16.23,11.06,22.86,9.683,-25.84,36.63,-15.3,8.054,-12.71,19.23,-21.33,13.28,-38.38,-56.56,-78.51,QC'd by Timtec
34,11110821,2277,CCN1CCC2=C(CC1)OC(=N2)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.67,-19.28,7.974,1.052,-17.37,-3.222,13.59,-7.401,-22.21,13.86,-7.458,-23.37,6.748,-17.19,-15.75,-9.67,QC'd by SigmaAldrich
35,4254078,,,Inconclusive,20,,,Inhibitor,3.1623,109.394,,Single point of activity,-5.5,4.095,0.8238,-100.915,8.478,-3,0 0 0 0 0 0 0,-100.4,29.7,,13.35,,30.03,,-20.3,,-10.31,,-14.21,,-100.4,,,QC'd by NCI
36,4238701,3233810,C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC=C(C=C4)Cl)OC5=CC=CC=C5,Inactive,0,,,Inactive,,,,,,,,,,4,,-35.26,,,-1.613,,-1.286,,1.26,,-6.661,,7.077,,-29.21,,-35.26,QC'd by Pharmacopeia
37,11111376,6603904,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C(=O)OCC2=CC=CC=C2)C3=NC4=CC(=C(C=C4C(=N3)N)OC)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.63,6.775,1.85,25.22,-22.39,46.25,-8.452,-7.759,-0.3477,5.526,-23.11,-9.192,-2.937,-13.3,-10.4,-23.63,QC'd by SigmaAldrich
38,17384876,3247323,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)NCC4=CC(=C(C=C4)OC)OC,Active,88,,,Inhibitor,1.2589,124.115,,Complete curve; high efficacy,-5.9,0.7,0.9564,-112.056,12.0584,-1.1,0 0 0 0 0 0 0,-102.9,,,2.511,,24.03,,-19.11,,-25.92,,-61.53,,-92.59,,-102.9,QC'd by UPCMLD
39,4253383,417330,C1=CC=C(C(=C1)CCCC(=O)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.86,-15.41,,-20.28,,-18.47,,6.386,,-3.908,,-6.247,,-13.86,,,QC'd by NCI
40,4237863,3232976,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C)CC3=CC=C(C=C3)F,Inconclusive,20,,,Inhibitor,6.3096,120.532,,Single point of activity,-5.2,0.4,0.813,-78.181,42.3515,-3,0 0 1 0 0 0 0,-57.21,,,38.08,,33.55,,-19.02,,7.153,,-19.57,,2.53,,-57.21,QC'd by Pharmacopeia
41,26752619,16759043,C/C(=C(\C(C1=CC=CO1)NC(=O)OC)/C(=O)OC)/NCC2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,-42.61,-1.366,,55.08,,1.773,,17.5,,-4.279,,-7.056,,-42.61,,,QC'd by BUCMLD
42,4239269,3234376,C1C[C@@]2(CCN(C2)C(=O)NC3=CC=CC(=C3)C#N)CN(C1)C(=O)C4=CC(=CC=C4)F,Inactive,0,,,Activator,25.1189,85.8004,,Single point of activity,-4.6,1.6436,0.6838,69.5549,-16.2455,3,0 1 0 0 0 0 0,52.04,,,6.261,,46.76,,-9.976,,-49.5,,-8.743,,1.085,,52.04,QC'd by Pharmacopeia
43,11113869,6604798,CCC(=O)N[C@H]1C[C@@H](C2=CC=CC=C2C1)C3=CC=CC=C3,Active,62,,,Inhibitor,7.9433,84.168,,Complete curve; partial efficacy,-5.1,1.6604,0.8807,-80.095,4.073,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-76.39,12.39,15.45,20.03,-4.268,-0.4425,-6.841,-6.826,0.5422,-5.595,22.15,-19.91,-16.7,-53.33,-68.69,-76.39,QC'd by Tocris
44,17385295,3247240,COC(=O)[C@]1([C@@H]2[C@@H](CC3=C2C=C(N3CCC4=CC(=C(C=C4)O)O)C(=O)N5CCCC5)CN1C(=O)C6=CC=CC=C6)CC7=CC=C(C=C7)F,Active,41,,,Inhibitor,15.8489,97.27,,Partial curve; high efficacy,-4.8,2.2526,0.9599,-88.608,8.662,-2.1,1 0 0 0 0 0 0,-81.61,,,-24.61,,8.587,,15.15,,-4.706,,14.62,,-22.23,,-81.61,QC'd by UPCMLD
45,11111377,3878,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.173,31.77,-38.03,-2.689,12.41,1.12,0.9655,-13.15,-27.26,-1.758,-4.97,-20.18,-7.928,-25.09,-9.378,-6.173,QC'd by SigmaAldrich
46,4239837,3234944,CN(C)CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NC4CC4,Inconclusive,20,,,Inhibitor,25.1189,64.062,,Single point of activity,-4.6,2.2481,0.8996,-56.062,8,-3,0 0 0 0 1 0 0,-47.25,,,8.314,,16.37,,12.05,,-5.582,,31.56,,-1.434,,-47.25,QC'd by Pharmacopeia
47,11112148,72440,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,41.98,-9.139,-0.4937,-5.608,5.697,-8.37,8.131,-2.446,-24.96,-14.26,8.86,27.06,-21.88,,41.98,,QC'd by Prestwick
48,4252892,5771550,CC(C)[C@H]1C(CO[C@H](O1)/C=C\C2=CC=CC=C2)(C)C,Inconclusive,22,,,Inhibitor,5.0119,44.6349,,Partial curve; partial efficacy,-5.3,4.095,0.9519,-57.8716,-13.2367,-2.2,0 1 0 0 0 0 0,-56.38,-16.18,,26.55,,-7.817,,-10.49,,-18.81,,-15.39,,-56.38,,,QC'd by NCI
49,26751168,16758570,C1CC=C(C(=O)C1)[C@@H](CCCCBr)O,Inactive,0,,,Inactive,,,,,,,,,,4,,20.41,35.41,,15.59,,28.13,,-31.92,,22.28,,0.6735,,20.41,,,QC'd by BUCMLD
50,17385298,3247263,CN(C)C(=O)C1=CC2=C(N1CCF)C[C@@H]3[C@H]2[C@](N(C3)C(=O)C4=CC=CC=C4)(CC5=CC=C(C=C5)F)C(=O)OC,Active,63,,,Inhibitor,3.1623,134.817,,Complete curve; partial efficacy,-5.5,1.6924,0.993,-69.4712,65.3458,-1.2,1 1 0 0 0 0 0,-69.93,,,-99.25,,-76.22,,58.01,,67.64,,14.76,,-53.29,,-69.93,QC'd by UPCMLD
51,4238419,3233529,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)CC4=CC=C(C=C4)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.96,,,-35.48,,23.7,,-19.58,,15.11,,-20.64,,54.43,,-21.96,QC'd by Pharmacopeia
52,11112637,6604353,C[C@H]1[C@H]([C@H](C[C@H](O1)O[C@@H]2CC[C@]3([C@H](C2)CC[C@@]4([C@@]3(C[C@@H]([C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)O)C)C)C)O)O[C@@H]7C[C@@H]([C@@H]([C@@H](O7)C)O[C@@H]8C[C@@H]([C@@H]([C@@H](O8)C)O[C@@H]9[C@H]([C@@H]([C@@H]([C@@H](O9)CO)O)O)O)OC(=O)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,,15.66,26.22,36.46,-9.615,2.036,1.944,3.938,-3.738,31.87,-23.36,-24.3,3.76,-4.777,,15.66,,QC'd by Prestwick
53,4253386,675152,C1CCN(CC1)C[C@@H](COC2=CC=CC=C2)O,Inactive,0,,,Inactive,,,,,,,,,,4,,3.879,8.453,,-20.88,,-11.48,,4.253,,9.489,,21.84,,3.879,,,QC'd by NCI
54,11110818,123692,C1CCC(CC1)(C2=CC3=CC=CC=C3S2)N4CCCCC4,Inconclusive,20,,,Inhibitor,7.9433,44.967,,Complete curve; partial efficacy; poor fit,-5.1,4.9549,0.6976,-44.501,0.466,-1.4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-54.21,43.5,16.13,3.124,-8.969,0.6946,-6.351,-27.95,13.18,11.65,-3.359,3.825,0.6478,-42.97,-30.36,-54.21,QC'd by SigmaAldrich
55,4238702,3233811,CN(C)C1=NC(=NC2=CC=CC=C21)C3=CC(=CC=C3)OC,Active,41,,,Inhibitor,19.9526,108.675,,Partial curve; high efficacy,-4.7,2.4064,0.8146,-102.014,6.6611,-2.1,0 0 0 0 0 0 0,-93.59,,,4.484,,0.3894,,-25.11,,27.52,,26.65,,-18.14,,-93.59,QC'd by Pharmacopeia
56,11111651,4926,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.28,-23.37,11.64,-15.28,14.45,5.301,-28.95,0.023,-12.56,-13.91,19.17,10.11,27.91,9.729,-16.09,-16.28,QC'd by SigmaAldrich
57,4254077,430405,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCSS(=O)(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,21.19,-25.55,,-4.054,,-40.92,,10.95,,-13.53,,11.57,,21.19,,,QC'd by NCI
58,11113127,11790,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,Active,86,,,Inhibitor,1.9953,105.59,,Complete curve; high efficacy,-5.7,0.9,0.8075,-96.1667,9.4234,-1.1,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,-85.68,-19.91,-22.7,30.35,29.44,41.58,-2.525,14.38,-28.22,-7.074,-25.68,131.1,-60.73,-79.86,-93.04,-85.68,QC'd by Timtec
59,4240393,3235498,CS(=O)(=O)N1CCC2(CCN(CC2)CC3=CC=C(C=C3)C#N)CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.5,,,25.47,,-7.142,,15.54,,53.58,,-11.41,,-11.18,,-21.5,QC'd by Pharmacopeia
60,26752616,16759040,CCCCCCCC#CC1=CC=CC=C1/C=N/S(=O)C(C)(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,7.465,26.07,,-24.4,,17.96,,3.781,,-21.32,,64.89,,7.465,,,QC'd by BUCMLD
61,11114370,6605029,C1CNC[C@H]([C@@H]1N)C(=O)N[C@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]2CCNC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CO,Inconclusive,20,,,Inhibitor,15.8489,95.5405,,Partial curve; partial efficacy; poor fit,-4.8,1.7529,0.4082,-82.7412,12.7993,-2.4,0 1 0 0 0 0 0 0 0 1 0 0 0 0 0,-76.48,42.47,62.08,-0.7969,-22.62,-39.69,-37.3,20.69,47.68,74.1,-43.45,45.37,-24.72,-13.23,-52.28,-76.48,QC'd by UWisc
62,11113872,4705,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OC,Active,86,,,Inhibitor,1.9953,97.9343,,Complete curve; high efficacy,-5.7,0.9,0.9415,-96.8221,1.1122,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-84.74,-0.7485,-6.799,21.73,-18.04,4.755,-3.193,-3.233,-8.683,-26.39,-28.68,-50.91,-61.16,-84.81,-89.49,-84.74,QC'd by Tocris
63,4253522,266770,C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)N(C2=O)C3=NC=NN3,Inactive,0,,,Activator,6.3096,64.192,,Single point of activity,-5.2,4.9549,0.7812,67.944,3.752,3,0 0 1 0 0 0 0,64.75,-19.01,,18.11,,52.46,,5.645,,14.7,,0.9478,,64.75,,,QC'd by NCI
