PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007317399 uM,Activity at 0.00164 uM,Activity at 0.00366 uM,Activity at 0.00370 uM,Activity at 0.00818 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.091 uM,Activity at 0.092 uM,Activity at 0.204 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.111 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
6,11110820,2457,C1CN=C(N1)C2=NC3=CC=CC=C3C=C2,Inconclusive,21,,,Inhibitor,12.5893,35.8193,,Partial curve; partial efficacy,-4.9,1.4641,0.8549,-39.8618,-4.0425,-2.2,1 0 0 0 0 0 0,-36.1171,,,,15.4847,,-12.83,,,4.3082,,-4.3362,,-6.0292,,-20.9396,,-36.1171,QC'd by SigmaAldrich
7,4253384,443657,C[C@@H]([C@@H](C(=O)O)N)OP(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.7879,-7.8345,,-12.0574,,,-10.7577,,-8.4222,,,-9.1011,,-9.8495,,-9.7879,,,QC'd by NCI
8,26749608,16758032,C(C1C(C(C([C@@H](O1)OC2C(C(O[C@@]2(CO)O[C@H]3C(C(C(C(O3)CO)O)O)O)CO)O)O)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.2481,,,5.2987,,,-0.7847,,-1.9311,,,-2.9101,,-9.6068,,-11.084,,-13.2481,QC'd by Microsource
9,4237862,3232975,CC1=CN=C(C=N1)CNC2=NC=NC(=C2)C3=CC=C(C=C3)N(C)C,Active,42,,,Inhibitor,10,69.5048,,Partial curve; partial efficacy,-5,2.5334,0.9933,-70.3709,-0.866,-2.2,0 0 0 0 0 0 0,-70.1974,,,-1.8236,,,-2.8823,,3.4629,,,-3.346,,-2.2385,,-40.4391,,-70.1974,QC'd by Pharmacopeia
10,17384877,3247264,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)N[C@H](CC4=CC=CC=C4)CO,Active,85,,,Inhibitor,2.5119,87.9956,,Complete curve; high efficacy,-5.6,1.4641,0.988,-98.5901,-10.5945,-1.1,0 0 0 0 0 0 0,-100.69,,,-11.8186,,,-5.9323,,-18.2858,,,-13.3911,,-52.6073,,-86.5544,,-100.69,QC'd by UPCMLD
11,26752618,16759042,CC(=O)[C@]1(CCCC1=O)C(C2=CC(=CC=C2)F)NC(=O)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.8758,-6.3198,,-5.0181,,,-7.8217,,-3.1551,,,-10.6912,,-12.5114,,-13.8758,,,QC'd by BUCMLD
12,4253519,266689,C1CCC(C1)(C(=O)O)NC2=CC=C(C=C2)S(=O)(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.0884,-9.8542,,-17.8168,,,-7.1304,,-9.2003,,,-6.5511,,-9.111,,-8.0884,,,QC'd by NCI
13,4239836,3234943,CN1C(=O)C=NC2=CN=C(N=C21)OCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,7.8938,,,-2.6565,,,-9.1334,,-5.7532,,,-5.0388,,0.8319,,-2.4425,,7.8938,QC'd by Pharmacopeia
14,26753589,4170,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,Inconclusive,21,,,Inhibitor,12.5893,51.9763,,Partial curve; partial efficacy,-4.9,3.0654,0.9125,-42.1325,9.8438,-2.2,0 0 0 0 0 0 0,-40.8787,,,8.358,,,17.5595,,10.0322,,,-1.6895,,14.6109,,-14.2014,,-40.8787,QC'd by SigmaAldrich
15,26748605,72899,C1=CC=C2C(=C1)C=C(N2)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.3663,,,-10.7224,,,-5.2872,,-8.4501,,,-6.3653,,-6.2665,,-4.4045,,-4.3663,QC'd by Microsource
16,17389120,2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,Inconclusive,20,,,Inhibitor,12.5893,47.3341,,Single point of activity,-4.9,3.1925,0.8802,-31.2794,16.0547,-3,1 0 0 0 0 0 0,-30.0359,,,37.6963,,,22.191,,5.2206,,,13.5341,,25.2377,,-6.2418,,-30.0359,QC'd by SigmaAldrich
17,11110821,2277,CCN1CCC2=C(CC1)OC(=N2)N,Inconclusive,20,,,Inhibitor,1,25.8424,,Complete curve; partial efficacy; poor fit,-6,4.9549,0.7845,-32.2007,-6.3582,-1.4,1 0 0 0 0 0 0,-27.2179,,,,-23.4137,,-16.7604,,,-4.8693,,-1.9652,,-39.7505,,-28.8862,,-27.2179,QC'd by SigmaAldrich
18,4238701,3233810,C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC=C(C=C4)Cl)OC5=CC=CC=C5,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.8665,,,1.9391,,,0.7882,,3.0061,,,-2.744,,2.6602,,11.6575,,-11.8665,QC'd by Pharmacopeia
19,17389121,5943,C(Cl)(Cl)(Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,3.1637,7.3195,5.3046,6.264,,3.882,-4.7261,1.0526,-2.7893,,4.4202,-0.1906,-3.8616,0.0374,16.1207,0.3989,-1.9708,3.1637,QC'd by NIEHS/NTP
20,26749609,16758033,C[C@]12CCC([C@@](C1CCC(=C)C2C/C=C/3\C(COC3=O)O)(C)CO)O,Inconclusive,20,,,Inhibitor,25.1189,33.4672,,Partial curve; partial efficacy,-4.6,1.3723,0.9954,-44.3903,-10.9231,-2.2,0 0 0 0 0 0 0,-36.1586,,,-10.5477,,,-11.0984,,-10.4275,,,-10.3526,,-13.334,,-19.1351,,-36.1586,QC'd by Microsource
21,4253383,417330,C1=CC=C(C(=C1)CCCC(=O)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,0.6831,-9.9949,,-10.6647,,,-7.4035,,-12.5381,,,-11.1134,,-8.1072,,0.6831,,,QC'd by NCI
22,17384876,3247323,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)NCC4=CC(=C(C=C4)OC)OC,Active,85,,,Inhibitor,3.9811,105.165,,Complete curve; high efficacy,-5.4,1.5386,0.9956,-118.455,-13.2894,-1.1,0 0 0 0 0 0 0,-116.062,,,-18.1491,,,-11.6802,,-9.2951,,,-15.4189,,-47.0648,,-101.159,,-116.062,QC'd by UPCMLD
23,4237863,3232976,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C)CC3=CC=C(C=C3)F,Inconclusive,22,,,Inhibitor,7.9433,54.8662,,Partial curve; partial efficacy,-5.1,1.331,0.9377,-56.4253,-1.559,-2.2,0 0 0 0 0 0 0,-51.1385,,,4.2723,,,-10.5372,,4.4517,,,-5.6929,,-10.0789,,-37.7317,,-51.1385,QC'd by Pharmacopeia
24,26747619,102484,C1=CC(=CC=C1C(CN)O)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.5872,,,-12.2773,,,-3.2134,,-6.7599,,,-1.6576,,2.7636,,0.0821,,-3.5872,QC'd by Microsource
25,26752619,16759043,C/C(=C(\C(C1=CC=CO1)NC(=O)OC)/C(=O)OC)/NCC2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.3252,-4.4169,,-3.3855,,,-6.6691,,-1.9703,,,-5.2077,,-5.0987,,-20.3252,,,QC'd by BUCMLD
26,26747615,5702098,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,13.4488,,,7.4095,,,5.9199,,4.3808,,,4.9573,,-9.5926,,20.2293,,13.4488,QC'd by Microsource
27,4239837,3234944,CN(C)CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NC4CC4,Active,41,,,Inhibitor,15.8489,67.0399,,Partial curve; partial efficacy,-4.8,1.3443,0.973,-75.4238,-8.3839,-2.2,0 0 0 0 0 0 0,-68.0648,,,-6.7319,,,-5.5249,,-5.751,,,-15.3118,,-16.3361,,-32.3348,,-68.0648,QC'd by Pharmacopeia
28,11112148,72440,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.5808,-10.1661,3.3903,-6.839,,-2.6525,-5.6691,-0.9776,13.2717,,1.6763,-1.3787,1.8686,1.5891,-0.6074,-2.2627,1.5808,,QC'd by Prestwick
29,17389119,7438,CC1=CCC(CC1O)C(=C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.9045,-10.4722,-22.8393,-2.3163,,-1.8103,-4.857,-0.713,-4.4067,,-3.669,-8.6994,-5.378,-2.9901,1.7083,-2.4743,-0.7541,-4.9045,QC'd by NIEHS/NTP
30,4253386,675152,C1CCN(CC1)C[C@@H](COC2=CC=CC=C2)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.0331,-1.9292,,-0.9453,,,0.1852,,-1.9208,,,-1.5237,,-1.7252,,-3.0331,,,QC'd by NCI
31,11110818,123692,C1CCC(CC1)(C2=CC3=CC=CC=C3S2)N4CCCCC4,Inconclusive,20,,,Inhibitor,25.1189,51.5243,,Partial curve; partial efficacy,-4.6,1.7885,0.952,-54.6287,-3.1044,-2.2,0 0 0 0 0 0 0,-45.1056,,,-9.5511,,,-5.2319,,-0.4674,,,-0.442,,-0.0853,,-13.4195,,-45.1056,QC'd by SigmaAldrich
32,4238702,3233811,CN(C)C1=NC(=NC2=CC=CC=C21)C3=CC(=CC=C3)OC,Active,44,,,Inhibitor,5.0119,103.385,,Partial curve; high efficacy,-5.3,0.9,0.9942,-103.961,-0.5759,-2.1,0 0 0 0 0 0 0,-95.4471,,,-0.1787,,,-6.4587,,0.3121,,,-11.6162,,-34.4739,,-68.3761,,-95.4471,QC'd by Pharmacopeia
33,26752616,16759040,CCCCCCCC#CC1=CC=CC=C1/C=N/S(=O)C(C)(C)C,Inconclusive,22,,,Inhibitor,3.1623,40.5214,,Partial curve; partial efficacy,-5.5,4.9549,0.9944,-47.8145,-7.2931,-2.2,0 0 0 0 0 0 0,-47.5139,-7.2004,,-6.9825,,,-9.3262,,-5.4925,,,-7.4383,,-14.355,,-47.5139,,,QC'd by BUCMLD
34,4253522,266770,C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)N(C2=O)C3=NC=NN3,Inconclusive,23,,,Inhibitor,3.9811,60.1357,,Partial curve; partial efficacy,-5.4,1.1,0.9718,-62.097,-1.9613,-2.2,0 0 0 0 0 0 0,-48.0297,1.5837,,-7.5053,,,-0.9891,,-0.7357,,,-8.5818,,-22.0571,,-48.0297,,,QC'd by NCI
35,26749606,4673190,CC1=C2C(=C(C(=C1Cl)OC(=O)C)Cl)OC3=C(C(=C(C=C3OC2=O)OC)C(=O)OC)C,Active,41,,,Inhibitor,15.8489,62.5724,,Partial curve; partial efficacy,-4.8,1.9282,0.9783,-71.8049,-9.2325,-2.2,0 0 0 0 0 0 0,-67.6759,,,-4.9681,,,-15.5318,,-9.6655,,,-8.5183,,-8.8382,,-32.7769,,-67.6759,QC'd by Microsource
36,4237864,3232977,C1CN(CCC12CN(C2)C3=CC=CC=N3)C(=O)C4=CC=NC=C4,Inconclusive,24,,,Inhibitor,0.7943,48.498,,Complete curve; partial efficacy,-6.1,1.9673,0.8759,-54.1715,-5.6735,-1.2,0 0 0 0 0 0 0,-55.0069,,,-7.7767,,,-22.4751,,1.7279,,,-18.7629,,-53.644,,-49.0104,,-55.0069,QC'd by Pharmacopeia
37,17384875,5461873,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)NC4=CC5=CC=CC=C5C=C4,Active,43,,,Inhibitor,7.9433,81.1791,,Partial curve; partial efficacy,-5.1,0.8,0.9923,-86.4549,-5.2758,-2.2,0 0 0 0 0 0 0,-73.318,,,-8.7008,,,-3.5854,,-6.2379,,,-11.3344,,-29.9572,,-49.5791,,-73.318,QC'd by UPCMLD
38,11112147,6604192,C1[C@@H]2[C@@H]([C@H](S1)CCCCC(=O)O)NC(=O)N2,Inactive,0,,,Inactive,,,,,,,,,,4,,0.249,-8.0854,-5.3241,-7.2601,,4.5984,5.3886,-1.636,-1.1149,,-3.1794,1.9196,-4.0457,0.1943,-5.1271,-2.5884,0.249,,QC'd by Prestwick
39,4239838,3234945,COC(=O)N1CCC2(CC1)CN(C2)C(=O)NC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.4197,,,-8.1716,,,-3.5187,,-12.0248,,,-12.2343,,-11.6724,,-5.8831,,-1.4197,QC'd by Pharmacopeia
40,26753587,1309,CN1CCC2=CC3=C(C=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OCO3,Active,86,,,Inhibitor,1.9953,88.7283,,Complete curve; high efficacy,-5.7,1.1,0.9722,-98.2766,-9.5483,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-93.3756,2.1077,-0.7747,-12.461,,-18.6491,-15.429,-7.2196,-16.4343,,-22.1359,-24.341,-35.3288,-55.38,-81.6601,-89.4018,-90.0867,-93.3756,QC'd by Timtec
41,26748603,5206924,C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-36.0261,,,-44.0727,,,-28.5357,,-5.3073,,,-2.2201,,-8.9938,,5.4362,,-36.0261,QC'd by Microsource
42,17389118,7335,CC1=CCC(CC1OC(=O)C)C(=C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.7274,5.2809,-2.9365,-2.9751,,-1.6992,-8.1384,1.7772,-7.8194,,-0.5405,-1.5457,-4.8915,-3.9347,-1.0648,-5.3255,-4.1681,-9.7274,QC'd by NIEHS/NTP
43,4237865,3232978,CC1=NC2=CN=C(N=C2N(C1=O)C3=CC=CC=C3)OC4=CC=C(C=C4)OC,Active,63,,,Inhibitor,5.0119,61.6221,,Complete curve; partial efficacy,-5.3,1.6259,0.9024,-67.5464,-5.9244,-1.2,0 0 0 0 0 0 0,-66.2257,,,-17.4528,,,-13.0109,,8.0181,,,-0.0559,,-21.4094,,-54.1382,,-66.2257,QC'd by Pharmacopeia
44,4253385,1080081,C1CCN(C1)C[C@H](COC2=C(C=C(C=C2)Cl)Cl)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.2224,-0.0777,,2.2446,,,-3.0873,,-3.0396,,,-3.0955,,0.7413,,-7.2224,,,QC'd by NCI
45,4238703,3233812,COC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3N4CCOCC4,Active,44,,,Inhibitor,6.3096,91.5718,,Partial curve; high efficacy,-5.2,1.1,0.9869,-105.575,-14.003,-2.1,0 0 0 0 0 0 0,-94.9531,,,-8.6433,,,-16.4042,,-20.6794,,,-16.1124,,-35.3372,,-75.648,,-94.9531,QC'd by Pharmacopeia
46,26752617,16759041,CC(CCCCCCC/C=C/C=C/C(=O)N/C=C/C(=O)OCC=C)O,Active,45,,,Inhibitor,3.1623,81.5452,,Partial curve; partial efficacy,-5.5,1,0.9977,-90.0236,-8.4784,-2.2,0 0 0 0 0 0 0,-72.9332,-8.042,,-7.8955,,,-11.023,,-9.5771,,,-18.9109,,-41.4478,,-72.9332,,,QC'd by BUCMLD
47,4253521,136915,C1=CC=C(C=C1)N(CC(=O)O)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.9032,-5.948,,-8.3526,,,-5.6499,,-7.1521,,,-4.6153,,-7.5043,,-15.9032,,,QC'd by NCI
48,26747617,36708,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,Active,43,,,Inhibitor,5.0119,80.655,,Partial curve; high efficacy,-5.3,1,0.9887,-86.0182,-5.3632,-2.1,0 0 0 0 0 0 0,-80.4031,,,-11.1175,,,-0.7481,,-5.6878,,,-12.4199,,-31.8794,,-59.8253,,-80.4031,QC'd by Microsource
49,26749607,54676535,CC(=CCC1=C2C(=C3C(=C1OC)C(=C(C(=O)O3)C4=CC=C(C=C4)O)O)C=CC(O2)(C)C)C,Inconclusive,21,,,Inhibitor,19.9526,60.8636,,Partial curve; partial efficacy,-4.7,1.4641,0.9773,-66.1255,-5.2619,-2.2,0 0 0 0 0 0 0,-57.5054,,,-5.0653,,,0.1138,,-4.6692,,,-8.7738,,-10.5992,,-23.0837,,-57.5054,QC'd by Microsource
50,17384874,3247310,C1[C@H]([C@@H]1C(=O)NCC2=CC=CC=N2)[C@H](C3=CC=CC=C3)NP(=O)(C4=CC=CC=C4)C5=CC=CC=C5,Active,41,,,Inhibitor,15.8489,69.5753,,Partial curve; partial efficacy,-4.8,1.8851,0.9309,-77.2697,-7.6945,-2.2,0 0 0 0 0 0 0,-71.5644,,,-20.567,,,-8.9158,,-0.4891,,,-1.4101,,-9.2025,,-31.7989,,-71.5644,QC'd by UPCMLD
51,11110815,204966,C[N+](C)(C)CCOC(=O)CBr,Inactive,0,,,Inactive,,,,,,,,,,4,,9.2007,,,-2.0394,,,1.0712,,0.4376,,,6.7812,,1.8503,,-0.7115,,9.2007,QC'd by SigmaAldrich
52,17389117,,,Inactive,0,,,Inactive,,,,,,,,,,4,,1.2064,-1.2096,-1.3099,0.1411,,2.8193,-1.139,-4.4198,1.185,,3.2831,0.8041,3.1006,1.8806,9.2952,1.4831,-2.0525,1.2064,QC'd by null
53,4239831,3234938,COC1=CC=C(C=C1)NC(=O)N2CCCC3(C2)CCN(CC3)C(=O)OC,Inconclusive,20,,,Inhibitor,25.1189,63.8972,,Partial curve; partial efficacy,-4.6,1.6924,0.9941,-65.2441,-1.3468,-2.2,0 0 0 0 0 0 0,-52.831,,,0.6371,,,-2.3821,,-0.7979,,,-1.6893,,-4.9332,,-13.5921,,-52.831,QC'd by Pharmacopeia
54,11112146,6604191,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@H]([C@H]([C@H](O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O,Active,44,,,Inhibitor,5.0119,83.1038,,Partial curve; partial efficacy,-5.3,1,0.9459,-87.7779,-4.674,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-78.2207,-8.5271,-9.3402,-0.7697,,0.1417,3.5196,-19.3564,-2.7126,,-6.6743,-11.7605,-22.0583,-31.5806,-44.1665,-57.8522,-78.2207,,QC'd by Prestwick
55,4253516,3246374,CC[C@@H]1[C@@H]2CC3=C([C@]1(CCN2C)CC)C=C(C=C3)O.C1=CC=C(C=C1)[C@@H](C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,2.6734,-1.6806,,-0.8517,,,2.9759,,-1.4113,,,-0.7931,,-2.8118,,2.6734,,,QC'd by NCI
56,17384873,3247302,C1[C@@H]([C@H]1C(=O)NCC2=CC=CC=C2)[C@@H](C3=CC=CC=C3)NP(=O)(C4=CC=CC=C4)C5=CC=CC=C5,Active,42,,,Inhibitor,12.5893,103.865,,Partial curve; high efficacy,-4.9,1,0.998,-107.896,-4.0308,-2.1,0 0 0 0 0 0 0,-88.7586,,,-4.2054,,,-1.0499,,-5.8267,,,-8.8378,,-19.5849,,-54.0165,,-88.7586,QC'd by UPCMLD
57,4237858,3232971,CC(=O)NCCNC1=NC=NC2=C1C=C(C=C2)C3=CC=CC=C3Cl,Active,41,,,Inhibitor,15.8489,95.9467,,Partial curve; high efficacy,-4.8,1.2221,0.9912,-99.6847,-3.738,-2.1,0 0 0 0 0 0 0,-86.6796,,,-0.0637,,,-6.7692,,-1.3529,,,-5.1424,,-15.3723,,-42.0241,,-86.6796,QC'd by Pharmacopeia
58,26747622,4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,Inconclusive,20,,,Inhibitor,,,,Single point of activity,,,,,,-3,,-36.107,,,-7.4957,,,-20.1975,,-15.7771,,,-14.9086,,-1.9093,,9.5995,,-36.107,QC'd by Microsource
59,26752614,16759039,COC(=O)[C@@]1(CCCC1=O)C(C2=CC=CO2)NC(=O)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.6065,-2.3086,,-0.0495,,,-6.6029,,-2.0404,,,-0.9321,,-5.5541,,-10.6065,,,QC'd by BUCMLD
60,4238704,3233813,CN(CC1=CC=CO1)C2=NC=NC=C2C3=CC=CC=C3Cl,Active,67,,,Inhibitor,0.5012,80.4197,,Complete curve; partial efficacy,-6.3,1.2475,0.9996,-79.4375,0.9822,-1.2,0 0 0 0 0 0 0,-79.5535,,,0.6246,,,-1.0425,,-6.5634,,,-37.1379,,-67.7548,,-78.1346,,-79.5535,QC'd by Pharmacopeia
61,4253388,259669,C1=CC=C(C=C1)CCCCC2=C(N=C(N=C2N)N)N,Inactive,0,,,Inactive,,,,,,,,,,4,,5.1991,-11.9167,,-2.3573,,,-12.772,,-4.6646,,,-17.4356,,-10.0227,,5.1991,,,QC'd by NCI
62,26749612,390807,CC1=CC(=O)OC2=C1C=CC(=C2)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.7085,,,-6.4673,,,-11.0986,,-12.8846,,,-8.8775,,-10.2866,,-8.0967,,-28.7085,QC'd by Microsource
