PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
6,11113494,4687238,C1CC2(CCN(CC2)CC3=CC=CC=C3)C4=CC=CC=C41,Active,98,,,Inhibitor,0.0063,104.664,,Complete curve; high efficacy,-8.2,0.6,0.9621,-95.82,8.8441,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-98.8,-1.042,-22.69,-39.48,-48.51,-62.45,-67.5,-76.88,-81.69,-91.97,-86.8,-85.26,-89.31,,-107.3,-98.8,QC'd by Tocris
7,11112640,6604355,CN1C[C@@H](C[C@@H]2[C@@H]1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5,Active,97,,,Inhibitor,0.0063,93.358,,Complete curve; high efficacy,-8.2,1,0.9929,-89.2833,4.0747,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-94.01,-7.152,-13.01,,-48.13,-64.68,-76.82,,-84.2,-85.42,-86.86,-86.61,-90.61,-93.68,-94.01,,QC'd by Prestwick
8,11113842,154412,CN1CCN2[C@@H](C1)C3=CC=CC=C3CC4=CC=CC=C42,Active,97,,,Inhibitor,0.01,116.193,,Complete curve; high efficacy,-8,0.8,0.9915,-98.9267,17.2667,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-100.6,8.211,-2.633,-21.75,-33.14,-59.12,-70.91,-81.08,-87.15,-95.89,-92.8,-93.65,-95.78,,-106.9,-100.6,QC'd by Tocris
9,26752587,10541888,COC(=O)C(C(C1=CC=CC=C1)NC(=O)OC)C(=O)OC,Active,97,,,Inhibitor,0.0079,83.55,,Complete curve; high efficacy,-8.1,0.9,0.996,-94.002,-10.452,-1.1,0 0 0 0 0 0 0,-97.51,-19.96,,-36.71,,-68.05,,-85,,-90.39,,-92.17,,-97.51,,,QC'd by BUCMLD
10,11113175,6604355,CN1C[C@@H](C[C@@H]2[C@@H]1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5,Active,97,,,Inhibitor,0.01,103.3,,Complete curve; high efficacy,-8,0.6,0.9842,-98.2666,5.0337,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-102.3,-3.833,-17.96,-33.63,-44.62,-59.11,-69.61,-78.12,-79.42,-89.84,-89.06,-90.11,-93.42,,-102.5,-102.3,QC'd by Timtec
11,11113831,6604787,CC1(CO[C@@H](CN1)CC(=O)O)C,Active,97,,,Inhibitor,0.0063,101.625,,Complete curve; high efficacy,-8.2,1.111,0.987,-91.22,10.4046,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-98.2,5.486,-9.777,-21.29,-48.15,-69.69,-77.91,-82.44,-85.56,-91.32,-87.75,-86.97,-89.81,,-98.56,-98.2,QC'd by Tocris
12,11112305,2480,CCCCN(CCCC)CCCOC(=O)C1=CC=C(C=C1)N,Active,97,,,Inhibitor,0.0063,100.566,,Complete curve; high efficacy,-8.2,0.9,0.9911,-90.8691,9.6971,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-94.31,3.719,-12.57,,-50.67,-59.82,-73.4,,-85.54,-87.11,-88.69,-87.49,-90.95,-94.03,-94.31,,QC'd by Prestwick
13,4252711,227840,C1CCC2(CC1)CCCN2CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl,Active,97,,,Inhibitor,0.0079,111.422,,Complete curve; high efficacy,-8.1,1,0.9981,-96.2904,15.1321,-1.1,0 0 0 0 0 0 0,-98.07,6.289,,-20.88,,-58.75,,-88.39,,-93.87,,-95.3,,-98.07,,,QC'd by NCI
14,11113698,3082718,CN([C@H](CN1CCCC1)C2=CC=CC=C2)C(=O)CC3=CC(=C(C=C3)Cl)Cl,Active,97,,,Inhibitor,0.0126,112.616,,Complete curve; high efficacy,-7.9,1.4163,0.9878,-98.49,14.1264,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-99.2,11.12,10.53,-8.774,-17.63,-55.55,-85.35,-89.76,-92.97,-105.7,-94.25,-94.1,-95.67,,-106.6,-99.2,QC'd by Tocris
15,11114214,4515,C1CN(CC(=C1)C(=O)O)CCON=C(C2=CC=CC=C2)C3=CC=CC=C3,Active,97,,,Inhibitor,0.0063,101.509,,Complete curve; high efficacy,-8.2,0.8,0.948,-90.6524,10.857,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.45,10.86,-28.97,-32.27,-42.11,-64.58,-69.47,-76.94,-80.15,-93.84,-84.46,-83.98,-87.5,,-97.71,-95.45,QC'd by Tocris
16,11114228,3013166,CC(=CCC1=C2C(=CC=C1)C(=CN2)C3=C(C(=O)C(=C(C3=O)O)C4=C(NC5=CC=CC=C54)C(C)(C)C=C)O)C,Active,97,,,Inhibitor,0.0063,110.933,,Complete curve; high efficacy,-8.2,0.6,0.9476,-93.9633,16.9697,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-96.3,8.431,-27.76,-28.02,-45.38,-57.08,-62.4,-70.97,-79.16,-93.94,-85.24,-82.86,-86.65,,-104.7,-96.3,QC'd by Tocris
17,4238544,3233654,COC1=CC=CC=C1CN2CC[C@]3(C2)CCCN(C3)S(=O)(=O)C4=CC=CC=C4,Active,97,,,Inhibitor,0.01,70.634,,Complete curve; high efficacy,-8,0.9,0.9993,-95.508,-24.874,-1.1,0 0 0 0 0 0,-96.05,,,-45.21,,-69.83,,,,-92.44,,-95.04,,-94.91,,-96.05,QC'd by Pharmacopeia
18,11113571,3036027,CN(CCC1=CC(=C(C=C1)Cl)Cl)[C@H]2CCCC[C@H]2N3CCCC3,Active,97,,,Inhibitor,0.0063,110.454,,Complete curve; high efficacy,-8.2,0.8,0.9774,-94.156,16.2984,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.29,7.556,-13.84,-31.93,-46.48,-62.35,-72.29,-78.44,-85.4,-101.1,-88.04,-87.34,-89.07,,-100.5,-95.29,QC'd by Tocris
19,11113083,1099876,COC1=CC=CC=C1C[C@@H](CC2=NC3=CC=CC=C3N2)C4=NC5=CC=CC=C5N4,Active,97,,,Inhibitor,0.01,116.902,,Complete curve; high efficacy,-8,0.8,0.993,-94.8134,22.0888,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-101.1,9.344,2.86,-9.337,-34.27,-46.87,-67.53,-76.98,-84.17,-91.29,-87.74,-90.04,-92.08,,-97.75,-101.1,QC'd by Timtec
20,26751172,746501,C1CN[C@@H](C2=C1C3=CC=CC=C3N2)C4=CC=CC=C4,Active,96,,,Inhibitor,0.0126,78.9,,Complete curve; high efficacy,-7.9,1.5095,0.9867,-91.616,-12.716,-1.1,0 0 0 0 0 0 0,-97.83,-13.93,,-21.99,,-67,,-82.43,,-88.81,,-90.31,,-97.83,,,QC'd by BUCMLD
21,11111611,4910,CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC,Active,96,,,Inhibitor,0.0158,101.512,,Complete curve; high efficacy,-7.8,0.9,0.9972,-94.3128,7.1992,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-96.97,-1.458,-1.964,,-26.56,-47.5,-64.26,,-84.96,-89.29,-90.95,-90.63,-92.95,-96.36,-96.97,,QC'd by Prestwick
22,11113220,1268140,CN1[C@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@H](C3=CC=CC=C3)O,Active,96,,,Inhibitor,0.01,98.4666,,Complete curve; high efficacy,-8,0.6,0.9585,-91.2615,7.2051,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-96.44,-5.826,-12.79,-33.29,-36.17,-55.72,-60.75,-70.78,-73.44,-89.39,-75.03,-81.6,-84.68,,-101.9,-96.44,QC'd by Timtec
23,11112751,6604398,CCN(CC)C(=O)N[C@@H]1C[C@@H]2[C@H](CC3=CNC4=CC=CC2=C34)N(C1)C,Active,96,,,Inhibitor,0.01,96.773,,Complete curve; high efficacy,-8,0.9,0.9935,-90.451,6.322,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-91.07,2.64,-14.26,,-36.46,-57.05,-70.17,,-84.7,-86.2,-87.63,-87.45,-88.77,-94.14,-91.07,,QC'd by Prestwick
24,11113245,6604661,CN1[C@@H](CCC[C@H]1CC(=O)C2=CC=CC=C2)C[C@H](C3=CC=CC=C3)O,Active,96,,,Inhibitor,0.01,101.871,,Complete curve; high efficacy,-8,0.7,0.9772,-91.3195,10.5519,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.96,3.919,-5.607,-22.81,-42.99,-51.02,-63.22,-71.08,-78.66,-86.2,-85.04,-82.53,-86.14,,-101.6,-95.96,QC'd by Timtec
25,11111707,3032576,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@H]4CCN3C[C@@H]4C=C)O,Active,96,,,Inhibitor,0.0079,97.4519,,Complete curve; high efficacy,-8.1,1.1341,0.9937,-89.6569,7.795,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.37,-0.7891,-2.302,-24.36,-38.46,-62.27,-76.3,,,,-89.79,-90.44,-85.02,-91.44,-86.97,-93.37,QC'd by SigmaAldrich
26,11113340,6604355,CN1C[C@@H](C[C@@H]2[C@@H]1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5,Active,96,,,Inhibitor,0.0126,102.659,,Complete curve; high efficacy,-7.9,0.8,0.9784,-94.6512,8.0075,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-97.96,-1.578,-4.459,-16.68,-36.14,-58.47,-65.14,-76.63,-80.22,-92.09,-86.02,-86.21,-89.94,,-105.8,-97.96,QC'd by Tocris
27,11112959,19518,CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C.C1=CC=C(C=C1)C(=O)[O-],Active,96,,,Inhibitor,0.0079,98.4996,,Complete curve; high efficacy,-8.1,0.9,0.9957,-89.4238,9.0758,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-91.54,2.702,-12.07,,-43.41,-55.11,-72.04,,-82.16,-86.6,-87.61,-87.33,-88.59,-91.36,-91.54,,QC'd by Prestwick
28,11112974,6604503,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@@H]3C[C@H]4CCN3C[C@@H]4C=C)O.O.Cl,Active,96,,,Inhibitor,0.01,97.6228,,Complete curve; high efficacy,-8,1,0.9951,-91.2889,6.3339,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-94.24,1.421,-7.304,,-39.72,-55.96,-72.7,,-85.55,-87.37,-89.03,-85.98,-90.8,-95.24,-94.24,,QC'd by Prestwick
29,11112930,6604472,C[C@@H](CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3.C[C@@H](C(=O)O)O,Active,96,,,Inhibitor,0.01,105.804,,Complete curve; high efficacy,-8,1.2221,0.9923,-91.6275,14.1765,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-94.27,13.61,-1.305,,-28.72,-59.39,-78.38,,-84.02,-88.2,-89.13,-89.41,-92.11,-95.44,-94.27,,QC'd by Prestwick
30,11112555,441975,C[C@H]1[C@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45,Active,96,,,Inhibitor,0.0079,97.9363,,Complete curve; high efficacy,-8.1,1.0641,0.9961,-88.8458,9.0905,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-91.99,2.045,-5.705,,-39.6,-61.64,-75,,-83.95,-83.63,-87.36,-86.62,-88.97,-92.05,-91.99,,QC'd by Prestwick
31,11113546,5234410,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCCCC3=CC=CC=C3,Active,96,,,Inhibitor,0.0126,113.81,,Complete curve; high efficacy,-7.9,0.8,0.9892,-94.0051,19.8048,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-96.47,12.67,1.192,-15.92,-23.19,-48.16,-66.16,-75.4,-80.31,-91.3,-85.37,-87.68,-89.09,,-100.5,-96.47,QC'd by Tocris
32,11113616,671690,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CC(=CC(=C3)Cl)Cl,Active,96,,,Inhibitor,0.0079,109.222,,Complete curve; high efficacy,-8.1,0.7,0.9804,-88.2803,20.942,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-91.77,11.51,-11.86,-16.38,-36.18,-48.4,-59.11,-69.2,-79.76,-90,-81.9,-80.08,-82.3,,-93.2,-91.77,QC'd by Tocris
33,11112619,688420,C1CCN(CC1)CCO[C@@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl,Active,95,,,Inhibitor,0.0158,105.931,,Complete curve; high efficacy,-7.8,0.8,0.9853,-92.1294,13.8021,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-92.7,13.47,-12.26,,-21.34,-43.02,-56.02,,-80.77,-88.2,-89.02,-89.38,-90.6,-91.2,-92.7,,QC'd by Prestwick
34,11112182,3246080,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,Active,95,,,Inhibitor,0.0251,104.131,,Complete curve; high efficacy,-7.6,0.7,0.99,-94.8678,9.2636,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-97.97,2.429,-2.16,-14.75,-23.09,-38.12,-51.74,-66.73,-75.49,-86.41,-83.68,-83.62,-87.59,,-100.5,-97.97,QC'd by Timtec
35,11112690,6604374,C[C@@H](CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2,Active,95,,,Inhibitor,0.0158,78.441,,Complete curve; high efficacy,-7.8,1.4641,0.9855,-88.0318,-9.5908,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-92.78,-15.65,-9.659,,-27.19,-55.26,-70.35,,-82.47,-84.61,-85.58,-84.75,-90.21,-93.6,-92.78,,QC'd by Prestwick
36,11112750,6604398,CCN(CC)C(=O)N[C@@H]1C[C@@H]2[C@H](CC3=CNC4=CC=CC2=C34)N(C1)C,Active,95,,,Inhibitor,0.0158,98.1158,,Complete curve; high efficacy,-7.8,0.8,0.9982,-89.3619,8.7539,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-89.59,1.121,-5.382,,-27.31,-40.58,-58.59,,-78.4,-83.7,-85.9,-84.89,-86.86,-91.34,-89.59,,QC'd by Prestwick
37,11113732,3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,Active,95,,,Inhibitor,0.0158,101.228,,Complete curve; high efficacy,-7.8,0.7,0.9675,-93.8363,7.3917,-1.1,1 0 0 0 0 0 0 0 0 0 0 0 0 0,-94.89,26.34,-6.072,-15.53,-32.61,-51.86,-61.89,-70.32,-75.78,-85.74,-84.35,-84.68,-86.02,,-107.3,-94.89,QC'd by Tocris
38,17384952,3247354,C[C@H]([C@H]1C[C@]1(C)[C@@H](C2=CC=CC=C2)NC(=O)C3=CN=CC=C3)C(=O)NC4=CC5=CC=CC=C5C=C4,Active,95,,,Inhibitor,0.0251,98.568,,Complete curve; high efficacy,-7.6,0.8,0.9994,-93.906,4.662,-1.1,0 0 0 0 0 0,-94.74,,,-12.86,,-37.47,,,,-85.66,,-90.28,,-93.38,,-94.74,QC'd by UPCMLD
39,11112844,445143,CC(C)COC[C@H](CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,Active,95,,,Inhibitor,0.0158,83.7341,,Complete curve; high efficacy,-7.8,1.331,0.9949,-93.3917,-9.6576,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-96.66,-9.298,-15.16,,-32.56,-57.46,-76.45,,-87.78,-90.13,-91.03,-91.7,-94,-97.14,-96.66,,QC'd by Prestwick
40,11114172,6518171,CN(CCOC1=CC=C(C=C1)C[C@@H](C(=O)O)NC2=CC=CC=C2C(=O)C3=CC=CC=C3)C4=CC=CC=N4,Active,95,,,Inhibitor,0.0316,102.668,,Complete curve; high efficacy,-7.5,0.8,0.9915,-97.4268,5.241,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-98.3,0.92,-3.804,-12.05,-19.5,-36.88,-48.44,-67.69,-76.97,-92.32,-87.49,-88.44,-92.75,,-103.9,-98.3,QC'd by Tocris
41,11114193,6604905,CC1=CC=C(C=C1)S(=O)(=O)/C=C\C#N,Active,95,,,Inhibitor,0.0158,121.773,,Complete curve; high efficacy,-7.8,0.5,0.9799,-93.7989,27.9741,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-96.72,17.46,4.088,-22.69,-21.14,-35.2,-44.9,-60.59,-64.09,-78.16,-78.73,-81.82,-84.36,,-93.36,-96.72,QC'd by Tocris
42,4238920,3234027,C1CN(CCC12CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)C5=CC=NC=C5,Active,95,,,Inhibitor,0.0251,102.55,,Complete curve; high efficacy,-7.6,0.6,0.9988,-99.594,2.956,-1.1,0 0 0 0 0 0,-100.3,,,-21.86,,-43.44,,,,-84.16,,-91.4,,-96.46,,-100.3,QC'd by Pharmacopeia
43,11113660,6604748,CCCN(C/C=C\I)[C@@H]1CCC2=C(C1)C=C(C=C2)O,Active,95,,,Inhibitor,0.0158,103.416,,Complete curve; high efficacy,-7.8,0.7,0.9787,-93.1357,10.2801,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-93.61,1.003,1.201,-23.84,-26.23,-45.56,-56.31,-68.47,-76.27,-92.69,-83.93,-86.46,-86.07,,-101.6,-93.61,QC'd by Tocris
44,4240104,3235210,C1C[C@@]2(CCN(C2)CC3=CC=CC=C3)CN(C1)S(=O)(=O)C4=CC=CC=C4,Active,95,,,Inhibitor,0.0251,98.8655,,Complete curve; high efficacy,-7.6,0.8,0.9982,-93.8895,4.976,-1.1,0 0 0 0 0 0,-95.13,,,-10.02,,-39.23,,,,-84.78,,-89.99,,-93.25,,-95.13,QC'd by Pharmacopeia
45,11112867,2780,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N,Active,95,,,Inhibitor,0.0126,108.847,,Complete curve; high efficacy,-7.9,0.8,0.9951,-88.7407,20.1058,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-88.41,12.91,-0.6946,,-23.53,-40.85,-60.72,,-79.48,-82.11,-83.6,-83.17,-86.26,-92.91,-88.41,,QC'd by Prestwick
46,11112961,6604495,C[C@H](CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C.C[C@H](CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C.[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O,Active,95,,,Inhibitor,0.01,99.4022,,Complete curve; high efficacy,-8,0.91,0.9982,-85.6147,13.7876,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-86.9,6.539,-2.59,,-29.98,-48.06,-63.83,,-81.52,-83.91,-84.27,-82.83,-83.89,-87.71,-86.9,,QC'd by Prestwick
47,4252978,5355750,C/C(=N/O)/C1=CC2=C(C=C1)C=C(C3=CC=CC=C32)Br,Active,95,,,Inhibitor,0.0251,93.3064,,Complete curve; high efficacy,-7.6,1,0.9954,-94.7912,-1.4848,-1.1,0 0 0 0 0 0 0,-96.14,-5.372,,-9.821,,-45.13,,-72.3,,-89.84,,-93.03,,-96.14,,,QC'd by NCI
48,4238529,3233639,COC1=CC=CC=C1CN2CCC3(CC2)CCN(CC3)S(=O)(=O)C,Active,95,,,Inhibitor,0.02,92.876,,Complete curve; high efficacy,-7.7,1.1,0.9988,-93.348,-0.472,-1.1,0 0 0 0 0 0,-94.06,,,-12.06,,-46.18,,,,-89.01,,-92.1,,-94.22,,-94.06,QC'd by Pharmacopeia
49,11113592,6604463,CN1C[C@@H](C[C@@]2([C@@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br,Active,95,,,Inhibitor,0.02,95.033,,Complete curve; high efficacy,-7.7,0.9,0.9781,-90.9076,4.1253,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-94.98,-0.0243,-7.948,-9.684,-24.62,-42.42,-58.69,-68.33,-77.68,-96.28,-82.7,-81.95,-84.22,,-98.48,-94.98,QC'd by Tocris
50,11113607,6604739,C[C@@H](CC1=CC(=CC=C1)C(F)(F)F)NCCCC2=CC=CC=C2,Active,95,,,Inhibitor,0.0126,96.9361,,Complete curve; high efficacy,-7.9,1.01,0.9835,-90.8744,6.0617,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.7,2.568,-10.08,-15.29,-23.86,-56.53,-70.71,-76.01,-83.35,-90.95,-85.18,-87.19,-88.32,,-98.46,-95.7,QC'd by Tocris
