PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
8,11112635,6604351,C[C@]12CC[C@@H]3[C@@H]([C@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,Active,87,,,Inhibitor,1.2589,97.5263,,Complete curve; high efficacy,-5.9,0.9,0.9678,-94.5062,3.0201,-1.1,1 0 0 0 0 0 0 0 0 0 0 0 0 0,-90.5,27.22,-5.085,7.45,7.409,-9.786,10.17,-11.36,-7.637,-23.67,-48.22,-56.92,-72.31,-79.51,-90.5,,QC'd by Prestwick
9,4238700,3233809,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=CS4)OC5=CC=C(C=C5)OC,Inconclusive,22,,,Inhibitor,3.1623,36.564,,Complete curve; partial efficacy,-5.5,2.4064,0.9108,-32.564,4,-1.2,0 0 0 0 0 0 0,-33.22,,,12.78,,-4.743,,1.332,,5.77,,-8.024,,-30.5,,-33.22,QC'd by Pharmacopeia
10,11114372,6605031,C1CC[C@H]([C@@H](C1)C(=O)N[C@@H](CC2=CC=CC=C2)CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)C[C@H](CCCN)NC(=O)C[C@H](CO)NC(=O)[C@@H]3CNCC[C@H]3N,Inconclusive,20,,,Inhibitor,39.8107,59.9746,,Single point of activity,-4.4,4.9549,0.7462,-64.8533,-4.8787,-3,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,-59.36,-8.435,-10.68,0.9571,0.4398,-21.4,-2.375,2.902,-10.1,4.427,-7.645,20.72,-17.52,-0.1437,0.1475,-59.36,QC'd by UWisc
11,4254079,430431,C1(=C(C(=C(C(=C1F)F)F)F)F)N=C(N)N=C(N)N,Inactive,0,,,Inactive,,,,,,,,,,4,,0.1381,0.1006,,-5.365,,-17.14,,5.127,,3.532,,13.12,,0.1381,,,QC'd by NCI
12,4240395,3235500,CN1C2=NC(=NC=C2N=C(C1=O)C3=CC=CS3)OC4=CC=CC=C4,Inconclusive,21,,,Inhibitor,19.9526,64.496,,Partial curve; partial efficacy,-4.7,2.0479,0.9693,-63.7726,0.7234,-2.2,0 0 0 0 0 0 0,-57.08,,,-1.265,,-6.164,,1.803,,2.245,,5.686,,-15.66,,-57.08,QC'd by Pharmacopeia
13,11111649,307957,CC[C@@H]1[C@@H](COC1=O)CC2=CN=CN2C,Inconclusive,20,,,Inhibitor,31.6228,68.07,,Single point of activity,-4.5,1.3723,0.7153,-55.575,12.495,-3,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-40.9,27.22,19.49,-1.515,8.196,-16.62,24.05,-1.153,22.15,20.85,17.1,5.689,-0.6156,-2.548,-5.102,-40.9,QC'd by SigmaAldrich
14,11110820,2457,C1CN=C(N1)C2=NC3=CC=CC=C3C=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,5.765,-0.7756,-1.473,0.9773,-8.786,2.196,7.679,11.94,0.953,-13.1,-20.11,-1.551,2.58,18.35,-3.406,5.765,QC'd by SigmaAldrich
15,4239268,3234375,CC(=O)N1CCC2(CCCN(C2)C3=CC=CC=C3)CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,-26.04,,,,,-9.278,,4.938,,-2.645,,12.28,,14.49,,-26.04,QC'd by Pharmacopeia
16,4253384,443657,C[C@@H]([C@@H](C(=O)O)N)OP(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,7.733,7.247,,-26.55,,-4.464,,-25.78,,-6.846,,15.22,,7.733,,,QC'd by NCI
17,4237862,3232975,CC1=CN=C(C=N1)CNC2=NC=NC(=C2)C3=CC=C(C=C3)N(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.342,,,13.88,,-9.544,,6.816,,7.813,,-4.342,,,,,QC'd by Pharmacopeia
18,11111375,6603903,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCN[C@H](C3)C)F)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,4.254,-2.665,-20.37,-0.2473,2.409,-4.125,18.54,-19.71,8.418,1.877,-4.932,4.01,15.46,-6.334,4.895,4.254,QC'd by SigmaAldrich
19,17384877,3247264,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)N[C@H](CC4=CC=CC=C4)CO,Active,42,,,Inhibitor,15.8489,114.469,,Partial curve; high efficacy,-4.8,1,0.9431,-112.381,2.0884,-2.1,0 0 0 0 0 0,-89.3,,,,,1.956,,-6.152,,15.12,,-21.48,,-44.43,,-89.3,QC'd by UPCMLD
20,26752618,16759042,CC(=O)[C@]1(CCCC1=O)C(C2=CC(=CC=C2)F)NC(=O)OC,Inactive,0,,,Activator,3.9811,43.052,,Single point of activity,-5.4,4.095,0.9391,35.602,-7.45,3,0 0 0 0 0 0 0,35.16,-11.51,,-7.997,,-11.92,,-6.121,,0.2352,,-2.531,,35.16,,,QC'd by BUCMLD
21,17385296,3247248,COC(=O)CN1C2=C(C=C1C(=O)N3CCCC3)[C@H]4[C@@H](C2)CN([C@@]4(CC5=CC=C(C=C5)F)C(=O)OC)C(=O)C6=CC=CC=C6,Active,86,,,Inhibitor,1.9953,105.634,,Complete curve; high efficacy,-5.7,0.8,0.9851,-97.8261,7.8083,-1.1,0 0 0 0 0 0 0,-89.33,,,0.6701,,14.78,,-0.9258,,-20.67,,-47.26,,-78.67,,-89.33,QC'd by UPCMLD
22,11113870,6604799,CCC(=O)N[C@@H]1CCC2=C(C1)C(=CC=C2)OC,Inconclusive,21,,,Inhibitor,15.8489,58.32,,Partial curve; partial efficacy,-4.8,1.8079,0.8001,-52.32,6,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-53.13,5.885,6.62,3.684,-6.384,8.867,22.09,-8.699,6.065,8.954,3.039,23.11,-7.329,-18.95,-32.03,-53.13,QC'd by Tocris
23,11113129,6564523,CC(C)C1=CC2=C(C=C1)[C@@]3(CCC[C@]([C@H]3CC2)(C)CN)C,Active,81,,,Inhibitor,15.8489,96.5006,,Complete curve; high efficacy,-4.8,4.5045,0.9085,-92.576,3.9246,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-98.95,-1.144,4.35,-3.169,-1.97,-10.01,-4.829,-1.061,10.03,2.755,20.12,3.671,31.87,-18.61,-83.97,-98.95,QC'd by Timtec
24,4239836,3234943,CN1C(=O)C=NC2=CN=C(N=C21)OCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-26.24,,,1.4,,-6.507,,-0.8964,,-7.195,,18.34,,19.67,,-26.24,QC'd by Pharmacopeia
25,4253519,266689,C1CCC(C1)(C(=O)O)NC2=CC=C(C=C2)S(=O)(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,12.81,-9.728,,-3.539,,9.568,,-14.62,,-0.4147,,4.501,,12.81,,,QC'd by NCI
26,26751167,11025308,C1C[C@H](CC(=O)C1)C(C(=O)OCC2=CC=CC=C2)C(=O)OCC3=CC=CC=C3,Active,43,,,Inhibitor,3.1623,69.3157,,Partial curve; partial efficacy,-5.5,3.5722,0.9739,-65.9679,3.3479,-2.2,0 0 0 0 0 0 0,-65.1,6.794,,6.233,,-0.0997,,-3.823,,7.943,,-13.31,,-65.1,,,QC'd by BUCMLD
27,4252893,3246138,CNC1=C(C(=NC=N1)SC2=NC(=NC3=C2NC=N3)N)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,,-8.75,3.524,,8.593,,-11.58,,0.1659,,9.367,,11.4,,-8.75,,,QC'd by NCI
28,11111647,5917,C1CCC2=NN=NN2CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.58,-8.356,-8.093,16.47,22.58,19.25,12.46,3.03,13.92,-3.045,-12.82,-5.806,-5.623,0.1489,4.168,-10.58,QC'd by SigmaAldrich
29,4238422,3233532,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=CS4)OC5=CC=CC=C5,Inconclusive,23,,,Inhibitor,1.2589,46.0635,,Complete curve; partial efficacy,-5.9,1,0.899,-41.0635,5,-1.2,0 0 0 0 0 0 0,-38.15,,,-0.0933,,16.19,,-6.779,,-4.034,,-24.67,,-39.02,,-38.15,QC'd by Pharmacopeia
30,11112634,6604350,C[C@@H]1C/C=C\C=C/[C@@H]([C@@H](C[C@@H]([C@H]([C@@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)C)O[C@@H]3C[C@]([C@@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,,9.515,12.65,-5.427,-11.76,3.084,-0.6151,-1.398,25.23,-0.1097,-22.09,6.252,52.65,-17.51,6.682,9.515,,QC'd by Prestwick
31,4240396,3235501,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CN(C5=CC=CC=C54)C)CCC6=CC=CC=C6,Inactive,0,,,Inactive,,,,,,,,,,4,,25.44,,,-18,,-2.005,,-26.85,,34.45,,-1.092,,9.423,,25.44,QC'd by Pharmacopeia
32,11114371,6605030,CC(C)[C@@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@@H](CC2=CC=CC=C2)CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)C[C@H](CO)NC(=O)[C@@H]3CNCC[C@H]3N,Inconclusive,20,,,Inhibitor,31.6228,50.301,,Partial curve; partial efficacy; poor fit,-4.5,3.5722,0.5244,-50.995,-0.694,-2.4,0 0 0 0 0 1 0 0 0 0 0 0 1 0 0,-45.54,-7.745,-20.4,21.4,3.005,-0.566,27.4,-17.08,7.17,-5.557,12.76,11.25,-13.56,27.01,-16.52,-45.54,QC'd by UWisc
33,11113128,6604604,COC1=C(C=CC(=C1)[C@H]2[C@@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,Active,84,,,Inhibitor,2.5119,79.9965,,Complete curve; high efficacy,-5.6,1.5095,0.8641,-77.7425,2.254,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-82.16,-6.001,-2.17,-10.77,30.54,12.6,9.021,-24.73,-0.9702,1.66,-4.4,-48.08,-52.95,-64.19,-75.3,-82.16,QC'd by Timtec
34,11110821,2277,CCN1CCC2=C(CC1)OC(=N2)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.873,8.683,8.223,-6.038,-4.766,1.065,0.9705,5.211,-5.706,3.59,11.25,1.022,-15.8,2.042,-12.33,-6.873,QC'd by SigmaAldrich
35,4254078,,,Active,46,,,Inhibitor,3.1623,126.724,,Partial curve; high efficacy,-5.5,1.1341,0.9853,-118.841,7.8827,-2.1,0 0 0 0 0 0 0,-95.75,1.267,,16.86,,7.416,,2.755,,-4.342,,-41.93,,-95.75,,,QC'd by NCI
36,4238701,3233810,C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC=C(C=C4)Cl)OC5=CC=CC=C5,Active,42,,,Inhibitor,6.3096,72.364,,Partial curve; partial efficacy,-5.2,1,0.981,-70.6941,1.6699,-2.2,0 0 0 0 0 0 0,-64.47,,,-4.631,,3.357,,3.831,,-0.1691,,-20.52,,-42.2,,-64.47,QC'd by Pharmacopeia
37,11111376,6603904,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C(=O)OCC2=CC=CC=C2)C3=NC4=CC(=C(C=C4C(=N3)N)OC)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.683,-8.406,14.45,0.1524,13.13,2.047,8.79,-2.865,9.487,-1.001,-8.441,12.49,12.74,-6.433,-11.21,-9.683,QC'd by SigmaAldrich
38,17384876,3247323,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C(=O)NCC4=CC(=C(C=C4)OC)OC,Active,42,,,Inhibitor,10,70.0286,,Partial curve; partial efficacy,-5,4.9549,0.9803,-76.6883,-6.6597,-2.2,0 0 0 0 0 0,-76.54,,,,,-10.21,,-12.47,,-4.744,,0.0568,,-53.23,,-76.54,QC'd by UPCMLD
39,4253383,417330,C1=CC=C(C(=C1)CCCC(=O)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,1.29,-26.19,,-6.845,,-10.83,,2.668,,14.25,,-4.187,,1.29,,,QC'd by NCI
40,4237863,3232976,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C)CC3=CC=C(C=C3)F,Inactive,0,,,Inactive,,,,,,,,,,4,,18.88,,,17.62,,-4.085,,6.005,,7.791,,10.62,,3.688,,18.88,QC'd by Pharmacopeia
41,26752619,16759043,C/C(=C(\C(C1=CC=CO1)NC(=O)OC)/C(=O)OC)/NCC2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.52,-16.01,,-0.766,,-12.66,,-11.13,,-0.1419,,-11.79,,-14.52,,,QC'd by BUCMLD
42,4239269,3234376,C1C[C@@]2(CCN(C2)C(=O)NC3=CC=CC(=C3)C#N)CN(C1)C(=O)C4=CC(=CC=C4)F,Inactive,0,,,Activator,19.9526,46.106,,Single point of activity,-4.7,3.5117,0.9007,38.341,-7.765,3,1 0 0 0 0 0,37.19,,,,,8.691,,2.492,,-15.44,,-9.967,,-2.25,,37.19,QC'd by Pharmacopeia
43,11113869,6604798,CCC(=O)N[C@H]1C[C@@H](C2=CC=CC=C2C1)C3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.106,20.51,8.289,3.406,2.408,-9.593,-9.391,-0.3267,-11.1,-4.664,-5.807,-6.049,-1.62,1.687,14.64,-3.106,QC'd by Tocris
44,17385295,3247240,COC(=O)[C@]1([C@@H]2[C@@H](CC3=C2C=C(N3CCC4=CC(=C(C=C4)O)O)C(=O)N5CCCC5)CN1C(=O)C6=CC=CC=C6)CC7=CC=C(C=C7)F,Active,85,,,Inhibitor,3.1623,114.415,,Complete curve; high efficacy,-5.5,1,0.9876,-106.715,7.7007,-1.1,0 0 0 0 0 0 0,-99.93,,,3.152,,10.08,,9.355,,-13.41,,-33.65,,-85.7,,-99.93,QC'd by UPCMLD
45,11111377,3878,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Inactive,0,,,Inactive,,,,,,,,,,4,,4.808,-6.031,-25.93,-10.61,12.2,16.29,31.11,-4.316,-27.07,3.708,9.882,-0.8304,-14.05,7.005,-0.6931,4.808,QC'd by SigmaAldrich
46,4239837,3234944,CN(C)CC1=CC=CC=C1C2=CC3=C(C=C2)N=CN=C3NC4CC4,Inactive,0,,,Inactive,,,,,,,,,,4,,13.5,,,-3.388,,4.029,,-11.65,,-2.208,,13.5,,,,,QC'd by Pharmacopeia
47,11112148,72440,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O,Inactive,0,,,Activator,,,,Single point of activity,,,,,,3,,32.65,-17.48,-28.52,5.377,12.59,-19.77,18.43,-14.23,13,1.801,-10.06,-19.33,9.186,-7.221,32.65,,QC'd by Prestwick
48,4252892,5771550,CC(C)[C@H]1C(CO[C@H](O1)/C=C\C2=CC=CC=C2)(C)C,Inconclusive,22,,,Inhibitor,3.1623,51.46,,Partial curve; partial efficacy,-5.5,1.6259,0.9301,-48.9815,2.4785,-2.2,0 0 0 0 0 0 0,-43.3,6.021,,-7.344,,7.13,,4.366,,-0.8031,,-16.74,,-43.3,,,QC'd by NCI
49,26751168,16758570,C1CC=C(C(=O)C1)[C@@H](CCCCBr)O,Inactive,0,,,Inactive,,,,,,,,,,4,,4.357,-7.181,,-1.222,,3.591,,16,,1.748,,-10.83,,4.357,,,QC'd by BUCMLD
50,17385298,3247263,CN(C)C(=O)C1=CC2=C(N1CCF)C[C@@H]3[C@H]2[C@](N(C3)C(=O)C4=CC=CC=C4)(CC5=CC=C(C=C5)F)C(=O)OC,Active,43,,,Inhibitor,6.3096,103.496,,Partial curve; high efficacy,-5.2,1.4787,0.9291,-89.5741,13.9224,-2.1,0 0 0 0 0 0 0,-83.83,,,-2.065,,18.12,,8.835,,32.19,,-9.546,,-56.29,,-83.83,QC'd by UPCMLD
51,4238419,3233529,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)CC4=CC=C(C=C4)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.822,,,-15.45,,14.86,,-6.368,,22.03,,8.538,,-0.4878,,-9.822,QC'd by Pharmacopeia
52,11112637,6604353,C[C@H]1[C@H]([C@H](C[C@H](O1)O[C@@H]2CC[C@]3([C@H](C2)CC[C@@]4([C@@]3(C[C@@H]([C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)O)C)C)C)O)O[C@@H]7C[C@@H]([C@@H]([C@@H](O7)C)O[C@@H]8C[C@@H]([C@@H]([C@@H](O8)C)O[C@@H]9[C@H]([C@@H]([C@@H]([C@@H](O9)CO)O)O)O)OC(=O)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,,0.4284,-11.2,-24.67,-9.279,19.02,-13.88,2.242,4.263,11.8,-14.97,4.145,-5.012,26.42,1.656,0.4284,,QC'd by Prestwick
53,4253386,675152,C1CCN(CC1)C[C@@H](COC2=CC=CC=C2)O,Inactive,0,,,Inactive,,,,,,,,,,4,,9.065,-9.342,,-1.409,,-2.726,,-5.419,,11.77,,4.547,,9.065,,,QC'd by NCI
54,11110818,123692,C1CCC(CC1)(C2=CC3=CC=CC=C3S2)N4CCCCC4,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.04,5.853,3.123,17.12,5.257,7.663,-9.461,4.126,-3.127,4.992,6.151,13.24,13.52,20.72,-15.07,-10.04,QC'd by SigmaAldrich
55,4238702,3233811,CN(C)C1=NC(=NC2=CC=CC=C21)C3=CC(=CC=C3)OC,Inactive,0,,,Activator,0.7943,65.113,,Partial curve; partial efficacy,-6.1,1.2216,0.8515,57.979,-7.134,2.2,0 0 0 0 0,45.28,,,-0.1972,,-19.69,,6.452,,10.07,,45.28,,,,,QC'd by Pharmacopeia
56,11111651,4926,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,Inactive,0,,,Inactive,,,,,,,,,,4,,17.37,0.7306,-0.7793,1.766,8.272,6.608,-5.837,-0.537,-13.99,-9.874,-4.721,-5.766,18.07,-12.28,13.36,17.37,QC'd by SigmaAldrich
57,4254077,430405,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCSS(=O)(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.38,13.33,,9.751,,-11.64,,5.08,,-0.7457,,9.448,,-10.38,,,QC'd by NCI
58,11113127,11790,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,Inconclusive,20,,,Inhibitor,7.9433,55.2175,,Complete curve; partial efficacy; poor fit,-5.1,4.9549,0.5732,-48.3736,6.8439,-1.4,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,-33.34,-11.03,-17.45,6.906,-23.38,15.54,-4.428,10.47,24.32,15.28,74.55,50.94,1.914,-50.52,-54.35,-33.34,QC'd by Timtec
59,4240393,3235498,CS(=O)(=O)N1CCC2(CCN(CC2)CC3=CC=C(C=C3)C#N)CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,4.097,,,,,8.489,,8.647,,12.57,,2.633,,-10.86,,4.097,QC'd by Pharmacopeia
60,26752616,16759040,CCCCCCCC#CC1=CC=CC=C1/C=N/S(=O)C(C)(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,8.406,-4.204,,9.612,,11.97,,3.431,,6.225,,7.506,,8.406,,,QC'd by BUCMLD
61,11114370,6605029,C1CNC[C@H]([C@@H]1N)C(=O)N[C@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]2CCNC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CO,Inconclusive,20,,,Inhibitor,15.8489,69.3335,,Partial curve; partial efficacy; poor fit,-4.8,1.3723,0.6197,-69.4885,-0.155,-2.4,0 0 0 0 0 1 0 1 0 0 0 0 0 0 0,-61.93,6.191,-12.63,6.904,-7.553,-14.6,-29.21,-4.445,33.18,11.07,34.62,-27.72,-24.17,-11.2,-48.49,-61.93,QC'd by UWisc
62,11113872,4705,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OC,Active,89,,,Inhibitor,0.3981,97.4206,,Complete curve; high efficacy,-6.4,0.7,0.9915,-93.7583,3.6623,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-90.08,0.0011,1.818,0.6591,-7.14,3.297,-13.7,-25.26,-34.67,-44.63,-64.18,-69.98,-79.62,-85.16,-88.57,-90.08,QC'd by Tocris
63,4253522,266770,C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)N(C2=O)C3=NC=NN3,Inactive,0,,,Activator,7.9433,50.2585,,Single point of activity,-5.1,4.9549,0.9018,41.5805,-8.678,3,1 0 0 0 0 0 0,34.41,9.062,,-2.36,,-5.981,,-8.056,,-7.883,,-19.56,,34.41,,,QC'd by NCI
